ID1	ID2	type	node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	exists
AT3G02470	AT1G70310	-	SAMDC	SPDS2	126799	121293	3702.AT3G02470.1	3702.AT1G70310.1	0	0	0	0	0.068	0	0.926	0.933	0.995	1
AT3G45640	AT1G51660	-	MPK3	MKK4	130168	119496	3702.AT3G45640.1	3702.AT1G51660.1	0	0	0.455	0.685	0.399	0.94	0.8	0.976	0.995	0.25
AT4G29810	AT2G43790	-	MKK2	MPK6	135082	126169	3702.AT4G29810.2	3702.AT2G43790.1	0	0	0.372	0.666	0	0.99	0	0.943	0.994	0.5
AT4G31800	AT1G80840	-	WRKY18	WRKY40	135297	122366	3702.AT4G31800.1	3702.AT1G80840.1	0	0	0	0.906	0.695	0.979	0	0.991	0.994	0.75
AT5G58180	AT4G02195	-	ATYKT62	SYP42	141499	132321	3702.AT5G58180.1	3702.AT4G02195.1	0	0	0	0	0	0.93	0	0.931	0.994	1
AT3G45640	AT1G71860	-	MPK3	PTP1	130168	121444	3702.AT3G45640.1	3702.AT1G71860.1	0	0	0	0	0	0.96	0	0.876	0.994	0.25
AT5G18930	AT1G70310	-	BUD2	SPDS2	138007	121293	3702.AT5G18930.1	3702.AT1G70310.1	0	0	0	0	0.068	0	0.926	0.925	0.994	0.5
AT4G01370	AT2G40180	-	MPK4	PP2C5	132226	125779	3702.AT4G01370.1	3702.AT2G40180.1	0	0	0	0	0	0.847	0	0.964	0.994	0.75
AT3G25570	AT1G70310	-	AT3G25570	SPDS2	129302	121293	3702.AT3G25570.1	3702.AT1G70310.1	0	0	0	0	0.068	0	0.926	0.91	0.993	1
AT5G58180	AT5G16830	-	ATYKT62	SYP21	141499	137781	3702.AT5G58180.1	3702.AT5G16830.1	0	0	0	0	0.084	0.897	0.8	0.674	0.993	0.25
AT5G58060	AT5G16830	-	YKT61	SYP21	141487	137781	3702.AT5G58060.2	3702.AT5G16830.1	0	0	0	0	0.084	0.897	0.8	0.694	0.993	0.5
AT2G43790	AT1G51660	-	MPK6	MKK4	126169	119496	3702.AT2G43790.1	3702.AT1G51660.1	0	0	0.418	0.683	0	0.947	0.8	0.968	0.993	0.75
AT4G01370	AT3G23610	-	MPK4	DSPTP1	132226	129098	3702.AT4G01370.1	3702.AT3G23610.3	0	0	0	0	0	0.565	0.9	0.862	0.993	1
AT3G11820	AT1G04750	-	SYP121	VAMP721	127780	115697	3702.AT3G11820.1	3702.AT1G04750.1	0	0	0	0	0	0.889	0	0.94	0.993	0.25
AT5G58060	AT4G02195	-	YKT61	SYP42	141487	132321	3702.AT5G58060.2	3702.AT4G02195.1	0	0	0	0	0	0.93	0	0.894	0.992	0.5
AT5G61210	AT1G12360	-	SNAP33	KEU	141815	116525	3702.AT5G61210.1	3702.AT1G12360.1	0	0	0	0	0.535	0.849	0.243	0.88	0.992	0.75
AT4G01370	AT2G38470	-	MPK4	WRKY33	132226	125595	3702.AT4G01370.1	3702.AT2G38470.1	0	0	0	0	0	0.805	0	0.962	0.992	1
AT3G06110	AT1G10210	-	MKP2	MPK1	127212	116288	3702.AT3G06110.2	3702.AT1G10210.1	0	0	0	0	0	0.565	0.9	0.834	0.992	0.25
AT5G53120	AT3G02470	-	SPDS3	SAMDC	140944	126799	3702.AT5G53120.6	3702.AT3G02470.1	0	0	0	0	0.068	0	0.926	0.887	0.991	0.5
AT3G18730	AT2G20050	-	TSK	AT2G20050	128562	123625	3702.AT3G18730.1	3702.AT2G20050.1	0	0	0	0	0	0.958	0	0.807	0.991	0.75
AT4G01370	AT3G06110	-	MPK4	MKP2	132226	127212	3702.AT4G01370.1	3702.AT3G06110.2	0	0	0	0	0	0.565	0.9	0.81	0.991	1
AT3G11820	AT1G12360	-	SYP121	KEU	127780	116525	3702.AT3G11820.1	3702.AT1G12360.1	0	0	0	0	0.104	0.959	0	0.791	0.991	0.25
AT4G01370	AT2G30020	-	MPK4	AT2G30020	132226	124675	3702.AT4G01370.1	3702.AT2G30020.1	0	0	0	0	0	0.305	0	0.988	0.991	0.5
AT3G25570	AT1G23820	-	AT3G25570	SPDS1	129302	117717	3702.AT3G25570.1	3702.AT1G23820.1	0	0	0	0	0.068	0	0.926	0.869	0.99	0.75
AT4G29810	AT4G08500	-	MKK2	MEKK1	135082	132730	3702.AT4G29810.2	3702.AT4G08500.1	0	0	0	0.722	0	0.874	0.901	0.953	0.99	1
AT5G58180	AT3G05710	-	ATYKT62	SYP43	141499	127162	3702.AT5G58180.1	3702.AT3G05710.2	0	0	0	0	0	0.93	0	0.866	0.99	0.25
AT3G56710	AT2G38470	-	SIB1	WRKY33	131345	125595	3702.AT3G56710.1	3702.AT2G38470.1	0	0	0	0	0.346	0.805	0	0.927	0.989	0.5
AT3G45640	AT3G23610	-	MPK3	DSPTP1	130168	129098	3702.AT3G45640.1	3702.AT3G23610.3	0	0	0	0	0	0.565	0.9	0.767	0.989	0.75
AT5G19530	AT3G25570	-	ACL5	AT3G25570	138075	129302	3702.AT5G19530.1	3702.AT3G25570.1	0	0	0	0	0.068	0	0.926	0.862	0.989	1
AT4G24190	AT3G18730	-	SHD	TSK	134469	128562	3702.AT4G24190.1	3702.AT3G18730.1	0	0	0	0	0.103	0.951	0	0.782	0.989	0.25
AT2G43790	AT2G30020	-	MPK6	AT2G30020	126169	124675	3702.AT2G43790.1	3702.AT2G30020.1	0	0	0	0	0	0.305	0	0.983	0.988	0.5
AT3G52400	AT1G04750	-	SYP122	VAMP721	130890	115697	3702.AT3G52400.1	3702.AT1G04750.1	0	0	0	0	0	0.855	0	0.922	0.988	0.75
AT3G23610	AT2G43790	-	DSPTP1	MPK6	129098	126169	3702.AT3G23610.3	3702.AT2G43790.1	0	0	0	0	0	0.565	0.9	0.767	0.988	1
AT2G41180	AT2G38470	-	SIB2	WRKY33	125891	125595	3702.AT2G41180.1	3702.AT2G38470.1	0	0	0	0	0	0.805	0	0.941	0.988	0.25
AT5G56580	AT1G01560	-	MKK6	MPK11	141324	115365	3702.AT5G56580.1	3702.AT1G01560.2	0	0	0.325	0.647	0	0.978	0	0.911	0.987	0.5
AT4G01370	AT2G30250	-	MPK4	WRKY25	132226	124697	3702.AT4G01370.1	3702.AT2G30250.1	0	0	0	0	0	0.787	0	0.942	0.987	0.75
AT3G23610	AT1G10210	-	DSPTP1	MPK1	129098	116288	3702.AT3G23610.3	3702.AT1G10210.1	0	0	0	0	0	0.565	0.9	0.735	0.987	1
AT1G70310	AT1G23820	-	SPDS2	SPDS1	121293	117717	3702.AT1G70310.1	3702.AT1G23820.1	0	0	0.527	0.986	0.451	0.79	0.9	0.97	0.987	0.25
AT4G24190	AT2G20050	-	SHD	AT2G20050	134469	123625	3702.AT4G24190.1	3702.AT2G20050.1	0	0	0	0	0	0.959	0.243	0.63	0.987	0.5
AT3G21220	AT2G43790	-	MKK5	MPK6	128831	126169	3702.AT3G21220.1	3702.AT2G43790.1	0	0	0.395	0.696	0	0.905	0.8	0.993	0.987	0.75
AT3G18690	AT2G30250	-	MKS1	WRKY25	128557	124697	3702.AT3G18690.1	3702.AT2G30250.1	0	0	0	0	0.114	0.953	0	0.721	0.987	1
AT5G56580	AT2G46070	-	MKK6	MPK12	141324	126407	3702.AT5G56580.1	3702.AT2G46070.1	0	0	0.426	0.657	0	0.978	0	0.859	0.987	0.25
AT3G23610	AT2G46070	-	DSPTP1	MPK12	129098	126407	3702.AT3G23610.3	3702.AT2G46070.1	0	0	0	0	0	0.565	0.9	0.719	0.986	0.5
AT5G56580	AT2G43790	-	MKK6	MPK6	141324	126169	3702.AT5G56580.1	3702.AT2G43790.1	0	0	0.334	0.667	0	0.978	0	0.891	0.986	0.75
AT5G16830	AT3G56450	-	SYP21	ASNAP1	137781	131319	3702.AT5G16830.1	3702.AT3G56450.1	0	0	0	0	0	0.928	0	0.815	0.986	1
AT5G63310	AT3G45640	-	NDPK2	MPK3	142039	130168	3702.AT5G63310.1	3702.AT3G45640.1	0	0	0	0	0	0.904	0	0.853	0.985	0.25
AT5G61600	AT2G43790	-	ERF104	MPK6	141857	126169	3702.AT5G61600.1	3702.AT2G43790.1	0	0	0	0	0	0.805	0	0.926	0.985	0.5
AT5G53120	AT5G18930	-	SPDS3	BUD2	140944	138007	3702.AT5G53120.6	3702.AT5G18930.1	0	0	0	0	0.068	0	0.926	0.807	0.985	0.75
AT2G46070	AT2G04550	-	MPK12	IBR5	126407	122730	3702.AT2G46070.1	3702.AT2G04550.1	0	0	0	0	0	0.903	0	0.843	0.984	1
AT5G59820	AT2G20050	-	RHL41	AT2G20050	141669	123625	3702.AT5G59820.1	3702.AT2G20050.1	0	0	0	0	0.17	0.95	0	0.645	0.983	0.25
AT2G20050	AT1G27730	-	AT2G20050	STZ	123625	118057	3702.AT2G20050.1	3702.AT1G27730.1	0	0	0	0	0.17	0.95	0	0.645	0.983	0.5
AT5G04340	AT2G20050	-	ZAT6	AT2G20050	136550	123625	3702.AT5G04340.1	3702.AT2G20050.1	0	0	0	0	0.17	0.95	0	0.645	0.983	0.75
AT5G58060	AT3G05710	-	YKT61	SYP43	141487	127162	3702.AT5G58060.2	3702.AT3G05710.2	0	0	0	0	0	0.93	0	0.774	0.983	1
AT2G20050	AT1G07880	-	AT2G20050	ATMPK13	123625	116033	3702.AT2G20050.1	3702.AT1G07880.2	0	0	0	0	0	0.953	0	0.647	0.982	0.25
AT5G61210	AT5G16830	-	SNAP33	SYP21	141815	137781	3702.AT5G61210.1	3702.AT5G16830.1	0	0	0	0	0.414	0.865	0	0.791	0.982	0.5
AT4G04910	AT3G56450	-	NSF	ASNAP1	132566	131319	3702.AT4G04910.1	3702.AT3G56450.1	0	0	0	0	0.083	0.951	0	0.647	0.982	0.75
AT4G36450	AT2G20050	-	MPK14	AT2G20050	135802	123625	3702.AT4G36450.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	1
AT2G20050	AT1G71860	-	AT2G20050	PTP1	123625	121444	3702.AT2G20050.1	3702.AT1G71860.1	0	0	0	0	0.107	0.959	0	0.555	0.982	0.25
AT2G20050	AT1G10210	-	AT2G20050	MPK1	123625	116288	3702.AT2G20050.1	3702.AT1G10210.1	0	0	0	0	0	0.953	0	0.647	0.982	0.5
AT2G20050	AT1G59580	-	AT2G20050	MPK2	123625	120159	3702.AT2G20050.1	3702.AT1G59580.1	0	0	0	0	0	0.953	0	0.647	0.982	0.75
AT2G20050	AT1G01560	-	AT2G20050	MPK11	123625	115365	3702.AT2G20050.1	3702.AT1G01560.2	0	0	0	0	0	0.953	0	0.647	0.982	1
AT2G20050	AT2G18170	-	AT2G20050	MPK7	123625	123434	3702.AT2G20050.1	3702.AT2G18170.1	0	0	0	0	0	0.953	0	0.647	0.982	0.25
AT4G01370	AT2G20050	-	MPK4	AT2G20050	132226	123625	3702.AT4G01370.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	0.5
AT2G43790	AT2G20050	-	MPK6	AT2G20050	126169	123625	3702.AT2G43790.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	0.75
AT2G46070	AT2G20050	-	MPK12	AT2G20050	126407	123625	3702.AT2G46070.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	1
AT5G16830	AT3G54300	-	SYP21	VAMP727	137781	131092	3702.AT5G16830.1	3702.AT3G54300.1	0	0	0	0	0	0.746	0	0.932	0.982	0.25
AT5G67300	AT3G45640	-	MYBR1	MPK3	142474	130168	3702.AT5G67300.1	3702.AT3G45640.1	0	0	0	0	0.191	0.814	0	0.894	0.982	0.5
AT4G11330	AT2G20050	-	MPK5	AT2G20050	133021	123625	3702.AT4G11330.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	0.75
AT3G59790	AT2G20050	-	MPK10	AT2G20050	131658	123625	3702.AT3G59790.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	1
AT5G54430	AT2G43790	-	PHOS32	MPK6	141091	126169	3702.AT5G54430.1	3702.AT2G43790.1	0	0	0	0	0	0.805	0	0.912	0.982	0.25
AT3G45640	AT2G20050	-	MPK3	AT2G20050	130168	123625	3702.AT3G45640.1	3702.AT2G20050.1	0	0	0	0	0	0.953	0	0.647	0.982	0.5
AT3G23610	AT1G59580	-	DSPTP1	MPK2	129098	120159	3702.AT3G23610.3	3702.AT1G59580.1	0	0	0	0	0	0.565	0.9	0.616	0.981	0.75
AT4G11330	AT3G06110	-	MPK5	MKP2	133021	127212	3702.AT4G11330.1	3702.AT3G06110.2	0	0	0	0	0	0.565	0.9	0.573	0.979	1
AT4G26070	AT2G20050	-	MEK1	AT2G20050	134674	123625	3702.AT4G26070.2	3702.AT2G20050.1	0	0	0	0	0	0.944	0	0.647	0.979	0.25
AT3G06110	AT1G59580	-	MKP2	MPK2	127212	120159	3702.AT3G06110.2	3702.AT1G59580.1	0	0	0	0	0	0.565	0.9	0.573	0.979	0.5
AT4G11330	AT3G23610	-	MPK5	DSPTP1	133021	129098	3702.AT4G11330.1	3702.AT3G23610.3	0	0	0	0	0	0.565	0.9	0.573	0.979	0.75
AT4G01370	AT1G10210	-	MPK4	MPK1	132226	116288	3702.AT4G01370.1	3702.AT1G10210.1	0	0	0.526	0.962	0	0.79	0.9	0.959	0.979	1
AT5G53120	AT1G70310	-	SPDS3	SPDS2	140944	121293	3702.AT5G53120.6	3702.AT1G70310.1	0	0	0.527	0.967	0	0.79	0.9	0.925	0.979	0.25
AT5G58180	AT5G52270	-	ATYKT62	AT5G52270	141499	140851	3702.AT5G58180.1	3702.AT5G52270.1	0	0	0	0	0	0.943	0	0.647	0.979	0.5
AT4G34390	AT2G20050	-	XLG2	AT2G20050	135584	123625	3702.AT4G34390.1	3702.AT2G20050.1	0	0	0	0	0	0.945	0	0.647	0.979	0.75
AT3G23610	AT1G01560	-	DSPTP1	MPK11	129098	115365	3702.AT3G23610.3	3702.AT1G01560.2	0	0	0	0	0	0.565	0.9	0.573	0.979	1
AT5G53120	AT1G23820	-	SPDS3	SPDS1	140944	117717	3702.AT5G53120.6	3702.AT1G23820.1	0	0	0.527	0.96	0	0.79	0.9	0.828	0.979	0.25
AT5G58180	AT1G11890	-	ATYKT62	SEC22	141499	116472	3702.AT5G58180.1	3702.AT1G11890.1	0	0	0	0	0	0.943	0	0.647	0.979	0.5
AT5G58060	AT4G04910	-	YKT61	NSF	141487	132566	3702.AT5G58060.2	3702.AT4G04910.1	0	0	0	0	0	0.946	0	0.635	0.979	0.75
AT3G59790	AT3G06110	-	MPK10	MKP2	131658	127212	3702.AT3G59790.1	3702.AT3G06110.2	0	0	0	0	0	0.565	0.9	0.573	0.979	1
AT3G06110	AT1G07880	-	MKP2	ATMPK13	127212	116033	3702.AT3G06110.2	3702.AT1G07880.2	0	0	0	0	0	0.565	0.9	0.573	0.979	0.25
AT2G20050	AT1G73500	-	AT2G20050	MKK9	123625	121614	3702.AT2G20050.1	3702.AT1G73500.1	0	0	0	0	0	0.944	0	0.647	0.979	0.5
AT3G59790	AT3G23610	-	MPK10	DSPTP1	131658	129098	3702.AT3G59790.1	3702.AT3G23610.3	0	0	0	0	0	0.565	0.9	0.573	0.979	0.75
AT3G23610	AT2G18170	-	DSPTP1	MPK7	129098	123434	3702.AT3G23610.3	3702.AT2G18170.1	0	0	0	0	0	0.565	0.9	0.573	0.979	1
AT3G06110	AT1G01560	-	MKP2	MPK11	127212	115365	3702.AT3G06110.2	3702.AT1G01560.2	0	0	0	0	0	0.565	0.9	0.573	0.979	0.25
AT3G45640	AT1G10210	-	MPK3	MPK1	130168	116288	3702.AT3G45640.1	3702.AT1G10210.1	0	0	0.526	0.961	0	0.79	0.9	0.96	0.979	0.5
AT4G36450	AT3G23610	-	MPK14	DSPTP1	135802	129098	3702.AT4G36450.1	3702.AT3G23610.3	0	0	0	0	0	0.565	0.9	0.573	0.979	0.75
AT5G56580	AT2G20050	-	MKK6	AT2G20050	141324	123625	3702.AT5G56580.1	3702.AT2G20050.1	0	0	0	0	0	0.944	0	0.647	0.979	1
AT4G36450	AT3G06110	-	MPK14	MKP2	135802	127212	3702.AT4G36450.1	3702.AT3G06110.2	0	0	0	0	0	0.565	0.9	0.573	0.979	0.25
AT3G06110	AT2G18170	-	MKP2	MPK7	127212	123434	3702.AT3G06110.2	3702.AT2G18170.1	0	0	0	0	0	0.565	0.9	0.573	0.979	0.5
AT5G58180	AT4G04910	-	ATYKT62	NSF	141499	132566	3702.AT5G58180.1	3702.AT4G04910.1	0	0	0	0	0	0.946	0	0.635	0.979	0.75
AT3G23610	AT1G07880	-	DSPTP1	ATMPK13	129098	116033	3702.AT3G23610.3	3702.AT1G07880.2	0	0	0	0	0	0.565	0.9	0.573	0.979	1
AT5G58060	AT5G52270	-	YKT61	AT5G52270	141487	140851	3702.AT5G58060.2	3702.AT5G52270.1	0	0	0	0	0	0.943	0	0.647	0.979	0.25
AT5G52270	AT3G56450	-	AT5G52270	ASNAP1	140851	131319	3702.AT5G52270.1	3702.AT3G56450.1	0	0	0	0	0	0.943	0	0.637	0.978	0.5
AT5G52270	AT4G04910	-	AT5G52270	NSF	140851	132566	3702.AT5G52270.1	3702.AT4G04910.1	0	0	0	0	0	0.945	0	0.623	0.978	0.75
AT3G56190	AT1G11890	-	ASNAP2	SEC22	131294	116472	3702.AT3G56190.1	3702.AT1G11890.1	0	0	0	0	0	0.943	0	0.637	0.978	1
AT5G52270	AT3G56190	-	AT5G52270	ASNAP2	140851	131294	3702.AT5G52270.1	3702.AT3G56190.1	0	0	0	0	0	0.943	0	0.637	0.978	0.25
AT4G04910	AT1G11890	-	NSF	SEC22	132566	116472	3702.AT4G04910.1	3702.AT1G11890.1	0	0	0	0	0	0.945	0	0.623	0.978	0.5
AT3G56450	AT1G11890	-	ASNAP1	SEC22	131319	116472	3702.AT3G56450.1	3702.AT1G11890.1	0	0	0	0	0	0.943	0	0.637	0.978	0.75
AT5G58060	AT3G56190	-	YKT61	ASNAP2	141487	131294	3702.AT5G58060.2	3702.AT3G56190.1	0	0	0	0	0	0.942	0	0.631	0.977	1
AT5G58060	AT3G56450	-	YKT61	ASNAP1	141487	131319	3702.AT5G58060.2	3702.AT3G56450.1	0	0	0	0	0	0.942	0	0.631	0.977	0.25
AT5G53120	AT5G15950	-	SPDS3	AT5G15950	140944	137688	3702.AT5G53120.6	3702.AT5G15950.1	0	0	0	0	0.068	0	0.926	0.696	0.977	0.5
AT5G58180	AT3G56450	-	ATYKT62	ASNAP1	141499	131319	3702.AT5G58180.1	3702.AT3G56450.1	0	0	0	0	0	0.942	0	0.631	0.977	0.75
AT5G58180	AT3G56190	-	ATYKT62	ASNAP2	141499	131294	3702.AT5G58180.1	3702.AT3G56190.1	0	0	0	0	0	0.942	0	0.631	0.977	1
AT5G57160	AT5G54260	-	ATLIG4	MRE11	141386	141074	3702.AT5G57160.1	3702.AT5G54260.1	0	0	0	0	0.09	0.619	0	0.936	0.976	0.25
AT5G13630	AT1G80840	-	GUN5	WRKY40	137448	122366	3702.AT5G13630.1	3702.AT1G80840.1	0	0	0	0	0	0.79	0	0.891	0.976	0.5
AT4G08500	AT4G01370	-	MEKK1	MPK4	132730	132226	3702.AT4G08500.1	3702.AT4G01370.1	0	0	0	0.673	0	0.964	0	0.956	0.975	0.75
AT2G43790	AT2G40180	-	MPK6	PP2C5	126169	125779	3702.AT2G43790.1	3702.AT2G40180.1	0	0	0	0	0	0.847	0	0.842	0.975	1
AT4G17490	AT2G43790	-	ERF6	MPK6	133735	126169	3702.AT4G17490.1	3702.AT2G43790.1	0	0	0	0	0	0.805	0	0.878	0.975	0.25
AT2G38470	AT1G80840	-	WRKY33	WRKY40	125595	122366	3702.AT2G38470.1	3702.AT1G80840.1	0	0	0	0.694	0.966	0	0	0.819	0.974	0.5
AT3G11820	AT2G33120	-	SYP121	VAMP722	127780	125015	3702.AT3G11820.1	3702.AT2G33120.2	0	0	0	0	0.128	0.495	0	0.947	0.974	0.75
AT5G57160	AT5G01310	-	ATLIG4	APTX	141386	136226	3702.AT5G57160.1	3702.AT5G01310.1	0	0	0	0	0	0.207	0.932	0.567	0.974	1
AT1G80840	AT1G27730	-	WRKY40	STZ	122366	118057	3702.AT1G80840.1	3702.AT1G27730.1	0	0	0	0	0.949	0	0	0.521	0.974	0.25
AT5G26980	AT3G56190	-	SYP41	ASNAP2	138769	131294	3702.AT5G26980.1	3702.AT3G56190.1	0	0	0	0	0	0.93	0	0.65	0.974	0.5
AT4G26070	AT1G71860	-	MEK1	PTP1	134674	121444	3702.AT4G26070.2	3702.AT1G71860.1	0	0	0	0	0.121	0.826	0	0.843	0.973	0.75
AT3G56450	AT3G05710	-	ASNAP1	SYP43	131319	127162	3702.AT3G56450.1	3702.AT3G05710.2	0	0	0	0	0	0.93	0	0.622	0.972	1
AT4G02195	AT3G56450	-	SYP42	ASNAP1	132321	131319	3702.AT4G02195.1	3702.AT3G56450.1	0	0	0	0	0	0.93	0	0.622	0.972	0.25
AT1G71860	AT1G10210	-	PTP1	MPK1	121444	116288	3702.AT1G71860.1	3702.AT1G10210.1	0	0	0	0	0	0.824	0	0.849	0.972	0.5
