athID	stuNo	stuIDs	nodeID	pantrID
AT1G01580	2	CLCdnPW49_16599|PBdnRY1_1747	AT1G01580	PBdnRY1_1747
AT1G01580	2	CLCdnPW49_16599|PBdnRY1_1747	AT1G01580	CLCdnPW49_16599
AT1G01610	1	CLCdnDe10_2815	AT1G01610	CLCdnDe10_2815
AT1G01630	2	CLCdnPW22_46024|CLCdnPW49_45799	AT1G01630	CLCdnPW49_45799
AT1G01630	2	CLCdnPW22_46024|CLCdnPW49_45799	AT1G01630	CLCdnPW22_46024
AT1G01650	2	Sotub01g032070.1.1|CLCdnPW19_29108	AT1G01650	Sotub01g032070
AT1G01650	2	Sotub01g032070.1.1|CLCdnPW19_29108	AT1G01650	CLCdnPW19_29108
AT1G01690	2	Sotub01g032050.1.1|CLCdnPW47_73463	AT1G01690	Sotub01g032050
AT1G01690	2	Sotub01g032050.1.1|CLCdnPW47_73463	AT1G01690	CLCdnPW47_73463
AT1G01710	2	CLCdnDe12_24718|Sotub01g032790.1.1	AT1G01710	Sotub01g032790
AT1G01710	2	CLCdnDe12_24718|Sotub01g032790.1.1	AT1G01710	CLCdnDe12_24718
AT1G01720	2	CLCdnPW45_5079|CLCdnDe13_23023	AT1G01720	CLCdnPW45_5079
AT1G01720	2	CLCdnPW45_5079|CLCdnDe13_23023	AT1G01720	CLCdnDe13_23023
AT1G01730	1	CLCdnPW25_8229	AT1G01730	CLCdnPW25_8229
AT1G01750	1	Sotub10g016300.1.1	AT1G01750	Sotub10g016300
AT1G01760	1	Sotub05g022120.1.1	AT1G01760	Sotub05g022120
AT1G01770	2	TDe_comp110368_c2_seq7|Sotub01g031690.1.1	AT1G01770	TDe_comp110368_c2_seq7
AT1G01770	2	TDe_comp110368_c2_seq7|Sotub01g031690.1.1	AT1G01770	Sotub01g031690
AT1G01780	2	Sotub01g031680.1.1|Sotub10g016260.1.1	AT1G01780	Sotub10g016260
AT1G01780	2	Sotub01g031680.1.1|Sotub10g016260.1.1	AT1G01780	Sotub01g031680
AT1G01820	2	VdnDe1_9189|VdnPW3_109685	AT1G01820	VdnPW3_109685
AT1G01820	2	VdnDe1_9189|VdnPW3_109685	AT1G01820	VdnDe1_9189
AT1G01840	1	VdnRY5_30841	AT1G01840	VdnRY5_30841
AT1G01860	1	CLCdnDe2_7038	AT1G01860	CLCdnDe2_7038
AT1G01880	1	CLCdnDe6_20468	AT1G01880	CLCdnDe6_20468
AT1G01900	1	CLCdnDe11_51593	AT1G01900	CLCdnDe11_51593
AT1G01910	2	CLCdnPW44_5916|CLCdnDe12_2161	AT1G01910	CLCdnPW44_5916
AT1G01910	2	CLCdnPW44_5916|CLCdnDe12_2161	AT1G01910	CLCdnDe12_2161
AT1G01920	1	CLCdnDe7_9542	AT1G01920	CLCdnDe7_9542
AT1G01930	1	SdnPW1_3964	AT1G01930	SdnPW1_3964
AT1G01940	1	CLCdnDe10_10869	AT1G01940	CLCdnDe10_10869
AT1G01950	2	Sotub01g030590.1.1|SdnRY1_3334	AT1G01950	Sotub01g030590
AT1G01950	2	Sotub01g030590.1.1|SdnRY1_3334	AT1G01950	SdnRY1_3334
AT1G01970	1	CLCdnDe4_69705	AT1G01970	CLCdnDe4_69705
AT1G02000	1	Sotub01g030310.1.1	AT1G02000	Sotub01g030310
AT1G02010	1	Sotub01g030410.1.1	AT1G02010	Sotub01g030410
AT1G02020	1	CLCdnDe10_17576	AT1G02020	CLCdnDe10_17576
AT1G02040	2	PGSC0003DMP400008532|Sotub01g029980.1.1	AT1G02040	Sotub01g029980
AT1G02040	2	PGSC0003DMP400008532|Sotub01g029980.1.1	AT1G02040	PGSC0003DMC400008532
AT1G02050	1	Sotub01g029760.1.1	AT1G02050	Sotub01g029760
AT1G02060	1	CLCdnDe10_67188	AT1G02060	CLCdnDe10_67188
AT1G02065	2	CLCdnPW48_43764|VdnDe4_98984	AT1G02065	VdnDe4_98984
AT1G02065	2	CLCdnPW48_43764|VdnDe4_98984	AT1G02065	CLCdnPW48_43764
AT1G02080	2	CLCdnDe10_2388|SdnRY1_2290	AT1G02080	SdnRY1_2290
AT1G02080	2	CLCdnDe10_2388|SdnRY1_2290	AT1G02080	CLCdnDe10_2388
AT1G02090	1	VdnPW1_71286	AT1G02090	VdnPW1_71286
AT1G02100	1	CLCdnDe12_55626	AT1G02100	CLCdnDe12_55626
AT1G02120	1	CLCdnDe13_6505	AT1G02120	CLCdnDe13_6505
AT1G02130	2	SdnRY1_34221|CLCdnDe4_4628	AT1G02130	SdnRY1_34221
AT1G02130	2	SdnRY1_34221|CLCdnDe4_4628	AT1G02130	CLCdnDe4_4628
AT1G02140	1	VdnPW1_48264	AT1G02140	VdnPW1_48264
AT1G02145	2	CLCdnRY10_36667|CLCdnPW3_67115	AT1G02145	CLCdnRY10_36667
AT1G02145	2	CLCdnRY10_36667|CLCdnPW3_67115	AT1G02145	CLCdnPW3_67115
AT1G02150	1	PBdnRY1_1658	AT1G02150	PBdnRY1_1658
AT1G02160	1	CLCdnRY3_30249	AT1G02160	CLCdnRY3_30249
AT1G02170	3	CLCdnPW21_8592|VdnPW1_139940|CLCdnDe11_82205	AT1G02170	VdnPW1_139940
AT1G02170	3	CLCdnPW21_8592|VdnPW1_139940|CLCdnDe11_82205	AT1G02170	CLCdnPW21_8592
AT1G02170	3	CLCdnPW21_8592|VdnPW1_139940|CLCdnDe11_82205	AT1G02170	CLCdnDe11_82205
AT1G02180	2	CLCdnPW42_45717|CLCdnRY11_16137	AT1G02180	CLCdnRY11_16137
AT1G02180	2	CLCdnPW42_45717|CLCdnRY11_16137	AT1G02180	CLCdnPW42_45717
AT1G02205	2	CLCdnDe3_2437|CLCdnRY10_46115	AT1G02205	CLCdnRY10_46115
AT1G02205	2	CLCdnDe3_2437|CLCdnRY10_46115	AT1G02205	CLCdnDe3_2437
AT1G02260	2	CLCdnPW28_31942|CLCdnDe6_155414	AT1G02260	CLCdnPW28_31942
AT1G02260	2	CLCdnPW28_31942|CLCdnDe6_155414	AT1G02260	CLCdnDe6_155414
AT1G02305	2	CLCdnPW25_921|TDe_comp99382_c0_seq1	AT1G02305	TDe_comp99382_c0_seq1
AT1G02305	2	CLCdnPW25_921|TDe_comp99382_c0_seq1	AT1G02305	CLCdnPW25_921
AT1G02330	1	CLCdnDe5_6407	AT1G02330	CLCdnDe5_6407
AT1G02370	2	VdnPW1_193478|Sotub01g023600.1.1	AT1G02370	VdnPW1_193478
AT1G02370	2	VdnPW1_193478|Sotub01g023600.1.1	AT1G02370	Sotub01g023600
AT1G02400	2	CLCdnDe11_95954|CLCdnDe11_47441	AT1G02400	CLCdnDe11_95954
AT1G02400	2	CLCdnDe11_95954|CLCdnDe11_47441	AT1G02400	CLCdnDe11_47441
AT1G02410	1	CLCdnDe3_42720	AT1G02410	CLCdnDe3_42720
AT1G02420	1	CLCdnDe11_51582	AT1G02420	CLCdnDe11_51582
AT1G02460	2	Sotub01g023380.1.1|CLCdnDe7_123790	AT1G02460	Sotub01g023380
AT1G02460	2	Sotub01g023380.1.1|CLCdnDe7_123790	AT1G02460	CLCdnDe7_123790
AT1G02475	2	VdnDe3_132713|Sotub01g023290.1.1	AT1G02475	VdnDe3_132713
AT1G02475	2	VdnDe3_132713|Sotub01g023290.1.1	AT1G02475	Sotub01g023290
AT1G02520	1	Sotub03g006150.1.1	AT1G02520	Sotub03g006150
AT1G02560	1	CLCdnDe1_402	AT1G02560	CLCdnDe1_402
AT1G02570	2	PGSC0003DMP400012906|CLCdnDe12_116235	AT1G02570	PGSC0003DMC400012906
AT1G02570	2	PGSC0003DMP400012906|CLCdnDe12_116235	AT1G02570	CLCdnDe12_116235
AT1G02610	1	VdnDe1_141516	AT1G02610	VdnDe1_141516
AT1G02630	1	CLCdnDe11_15047	AT1G02630	CLCdnDe11_15047
AT1G02640	1	CLCdnDe3_37895	AT1G02640	CLCdnDe3_37895
AT1G02660	1	VdnDe3_126295	AT1G02660	VdnDe3_126295
AT1G02680	2	Sotub06g016510.1.1|VdnDe2_141819	AT1G02680	VdnDe2_141819
AT1G02680	2	Sotub06g016510.1.1|VdnDe2_141819	AT1G02680	Sotub06g016510
AT1G02700	1	CLCdnDe2_70224	AT1G02700	CLCdnDe2_70224
AT1G02720	1	CLCdnPW10_37329	AT1G02720	CLCdnPW10_37329
AT1G02730	1	CLCdnRY7_24251	AT1G02730	CLCdnRY7_24251
AT1G02780	1	CLCdnDe14_56875	AT1G02780	CLCdnDe14_56875
AT1G02790	2	Sotub06g007620.1.1|Sotub02g015710.1.1	AT1G02790	Sotub06g007620
AT1G02790	2	Sotub06g007620.1.1|Sotub02g015710.1.1	AT1G02790	Sotub02g015710
AT1G02816	2	VdnPW1_141480|CLCdnRY10_32047	AT1G02816	VdnPW1_141480
AT1G02816	2	VdnPW1_141480|CLCdnRY10_32047	AT1G02816	CLCdnRY10_32047
AT1G02840	2	Sotub06g007470.1.1|SdnRY1_21586	AT1G02840	Sotub06g007470
AT1G02840	2	Sotub06g007470.1.1|SdnRY1_21586	AT1G02840	SdnRY1_21586
AT1G02850	2	Sotub09g022030.1.1|CLCdnRY3_11959	AT1G02850	Sotub09g022030
AT1G02850	2	Sotub09g022030.1.1|CLCdnRY3_11959	AT1G02850	CLCdnRY3_11959
AT1G02860	1	CLCdnPW22_28682	AT1G02860	CLCdnPW22_28682
AT1G02870	1	VdnPW3_135402	AT1G02870	VdnPW3_135402
AT1G02880	1	CLCdnDe12_24960	AT1G02880	CLCdnDe12_24960
AT1G02910	1	CLCdnDe4_22891	AT1G02910	CLCdnDe4_22891
AT1G02920	1	Sotub06g007450.1.1	AT1G02920	Sotub06g007450
AT1G02960	2	CLCdnPW46_56097|VdnDe2_105190	AT1G02960	VdnDe2_105190
AT1G02960	2	CLCdnPW46_56097|VdnDe2_105190	AT1G02960	CLCdnPW46_56097
AT1G02970	1	CLCdnDe10_83567	AT1G02970	CLCdnDe10_83567
AT1G03000	1	Sotub06g008570.1.1	AT1G03000	Sotub06g008570
AT1G03010	1	CLCdnDe13_14633	AT1G03010	CLCdnDe13_14633
AT1G03020	1	CLCdnRY12_44917	AT1G03020	CLCdnRY12_44917
AT1G03030	1	Sotub09g020680.1.1	AT1G03030	Sotub09g020680
AT1G03050	2	Sotub01g041930.1.1|Sotub11g016850.1.1	AT1G03050	Sotub11g016850
AT1G03050	2	Sotub01g041930.1.1|Sotub11g016850.1.1	AT1G03050	Sotub01g041930
AT1G03055	1	Sotub09g020580.1.1	AT1G03055	Sotub09g020580
AT1G03060	1	CLCdnDe10_18906	AT1G03060	CLCdnDe10_18906
AT1G03070	2	CLCdnDe14_8292|Sotub06g034570.1.1	AT1G03070	Sotub06g034570
AT1G03070	2	CLCdnDe14_8292|Sotub06g034570.1.1	AT1G03070	CLCdnDe14_8292
AT1G03080	2	CLCdnRY8_21666|Sotub09g020310.1.1	AT1G03080	Sotub09g020310
AT1G03080	2	CLCdnRY8_21666|Sotub09g020310.1.1	AT1G03080	CLCdnRY8_21666
AT1G03090	1	VdnDe6_18125	AT1G03090	VdnDe6_18125
AT1G03100	1	CLCdnDe10_7265	AT1G03100	CLCdnDe10_7265
AT1G03110	1	CLCdnDe6_41390	AT1G03110	CLCdnDe6_41390
AT1G03130	2	CLCdnDe12_196|CLCdnDe10_126416	AT1G03130	CLCdnDe12_196
AT1G03130	2	CLCdnDe12_196|CLCdnDe10_126416	AT1G03130	CLCdnDe10_126416
AT1G03140	2	CLCdnDe8_2823|PGSC0003DMP400018737	AT1G03140	PGSC0003DMC400018737
AT1G03140	2	CLCdnDe8_2823|PGSC0003DMP400018737	AT1G03140	CLCdnDe8_2823
AT1G03150	2	PBdnRY1_8298|CLCdnDe9_37471	AT1G03150	PBdnRY1_8298
AT1G03150	2	PBdnRY1_8298|CLCdnDe9_37471	AT1G03150	CLCdnDe9_37471
AT1G03160	2	CLCdnRY1_9169|CLCdnPW15_36309	AT1G03160	CLCdnRY1_9169
AT1G03160	2	CLCdnRY1_9169|CLCdnPW15_36309	AT1G03160	CLCdnPW15_36309
AT1G03180	1	Sotub09g019810.1.1	AT1G03180	Sotub09g019810
AT1G03190	1	CLCdnPW45_54016	AT1G03190	CLCdnPW45_54016
AT1G03210	1	Sotub09g015010.1.1	AT1G03210	Sotub09g015010
AT1G03220	2	VdnDe4_163171|Sotub01g024350.1.1	AT1G03220	VdnDe4_163171
AT1G03220	2	VdnDe4_163171|Sotub01g024350.1.1	AT1G03220	Sotub01g024350
AT1G03250	1	CLCdnPW16_1875	AT1G03250	CLCdnPW16_1875
AT1G03270	1	CLCdnPW35_15374	AT1G03270	CLCdnPW35_15374
AT1G03280	1	VdnDe4_30092	AT1G03280	VdnDe4_30092
AT1G03310	1	CLCdnDe11_11864	AT1G03310	CLCdnDe11_11864
AT1G03330	2	CLCdnDe4_24533|CLCdnDe11_19819	AT1G03330	CLCdnDe4_24533
AT1G03330	2	CLCdnDe4_24533|CLCdnDe11_19819	AT1G03330	CLCdnDe11_19819
AT1G03350	1	CLCdnPW8_5741	AT1G03350	CLCdnPW8_5741
AT1G03360	1	VdnDe2_54095	AT1G03360	VdnDe2_54095
AT1G03370	1	Sotub04g013260.1.1	AT1G03370	Sotub04g013260
AT1G03390	1	Sotub08g008890.1.1	AT1G03390	Sotub08g008890
AT1G03440	1	CLCdnDe12_83551	AT1G03440	CLCdnDe12_83551
AT1G03470	1	SdnRY1_22955	AT1G03470	SdnRY1_22955
AT1G03475	2	Sotub10g006550.1.1|CLCdnRY5_30346	AT1G03475	Sotub10g006550
AT1G03475	2	Sotub10g006550.1.1|CLCdnRY5_30346	AT1G03475	CLCdnRY5_30346
AT1G03495	1	PBdnRY1_11909	AT1G03495	PBdnRY1_11909
AT1G03510	1	CLCdnDe3_39275	AT1G03510	CLCdnDe3_39275
AT1G03520	1	CLCdnDe1_14305	AT1G03520	CLCdnDe1_14305
AT1G03530	1	VdnDe2_3799	AT1G03530	VdnDe2_3799
AT1G03540	1	CLCdnDe12_88533	AT1G03540	CLCdnDe12_88533
AT1G03560	1	CLCdnPW49_41358	AT1G03560	CLCdnPW49_41358
AT1G03590	1	CLCdnRY4_12830	AT1G03590	CLCdnRY4_12830
AT1G03600	2	VdnPW5_1148|Sotub07g019900.1.1	AT1G03600	VdnPW5_1148
AT1G03600	2	VdnPW5_1148|Sotub07g019900.1.1	AT1G03600	Sotub07g019900
AT1G03620	1	CLCdnPW48_85578	AT1G03620	CLCdnPW48_85578
AT1G03650	1	CLCdnPW8_53414	AT1G03650	CLCdnPW8_53414
AT1G03670	1	CLCdnDe12_44611	AT1G03670	CLCdnDe12_44611
AT1G03687	1	VdnPW1_30372	AT1G03687	VdnPW1_30372
AT1G03730	1	CLCdnDe7_26299	AT1G03730	CLCdnDe7_26299
AT1G03750	1	CLCdnRY2_40131	AT1G03750	CLCdnRY2_40131
AT1G03760	1	VdnPW2_82938	AT1G03760	VdnPW2_82938
AT1G03770	2	CLCdnDe6_35668|VdnDe7_3393	AT1G03770	VdnDe7_3393
AT1G03770	2	CLCdnDe6_35668|VdnDe7_3393	AT1G03770	CLCdnDe6_35668
AT1G03780	2	VdnDe1_238461|Sotub12g012280.1.1	AT1G03780	VdnDe1_238461
AT1G03780	2	VdnDe1_238461|Sotub12g012280.1.1	AT1G03780	Sotub12g012280
AT1G03790	1	Sotub07g021520.1.1	AT1G03790	Sotub07g021520
AT1G03840	1	SdnRY1_11259	AT1G03840	SdnRY1_11259
AT1G03860	2	PBdnRY1_11899|Sotub12g012250.1.1	AT1G03860	Sotub12g012250
AT1G03860	2	PBdnRY1_11899|Sotub12g012250.1.1	AT1G03860	PBdnRY1_11899
AT1G03870	1	CLCdnDe14_76735	AT1G03870	CLCdnDe14_76735
AT1G03900	2	CLCdnPW12_604|PBdnRY1_7409	AT1G03900	PBdnRY1_7409
AT1G03900	2	CLCdnPW12_604|PBdnRY1_7409	AT1G03900	CLCdnPW12_604
AT1G03905	1	VdnPW1_82877	AT1G03905	VdnPW1_82877
AT1G03910	1	CLCdnDe2_2327	AT1G03910	CLCdnDe2_2327
AT1G03940	1	PGSC0003DMP400013591	AT1G03940	PGSC0003DMC400013591
AT1G03950	1	VdnDe3_123796	AT1G03950	VdnDe3_123796
AT1G04010	1	CLCdnRY10_19994	AT1G04010	CLCdnRY10_19994
AT1G04020	2	CLCdnDe14_34713|CLCdnDe12_45733	AT1G04020	CLCdnDe14_34713
AT1G04020	2	CLCdnDe14_34713|CLCdnDe12_45733	AT1G04020	CLCdnDe12_45733
AT1G04030	1	CLCdnDe12_42794	AT1G04030	CLCdnDe12_42794
AT1G04040	1	CLCdnDe10_110088	AT1G04040	CLCdnDe10_110088
AT1G04080	2	CLCdnPW50_8397|Sotub09g015450.1.1	AT1G04080	Sotub09g015450
AT1G04080	2	CLCdnPW50_8397|Sotub09g015450.1.1	AT1G04080	CLCdnPW50_8397
AT1G04090	1	CLCdnDe2_5341	AT1G04090	CLCdnDe2_5341
AT1G04110	2	Sotub09g015520.1.1|Sotub06g034180.1.1	AT1G04110	Sotub09g015520
AT1G04110	2	Sotub09g015520.1.1|Sotub06g034180.1.1	AT1G04110	Sotub06g034180
AT1G04120	1	VdnDe1_163450	AT1G04120	VdnDe1_163450
AT1G04130	1	CLCdnPW2_21429	AT1G04130	CLCdnPW2_21429
AT1G04140	2	SdnPW1_2995|CLCdnRY10_24271	AT1G04140	SdnPW1_2995
AT1G04140	2	SdnPW1_2995|CLCdnRY10_24271	AT1G04140	CLCdnRY10_24271
AT1G04150	1	Sotub09g018310.1.1	AT1G04150	Sotub09g018310
AT1G04170	2	CLCdnDe6_28397|CLCdnRY5_10922	AT1G04170	CLCdnRY5_10922
AT1G04170	2	CLCdnDe6_28397|CLCdnRY5_10922	AT1G04170	CLCdnDe6_28397
AT1G04190	1	CLCdnDe7_14122	AT1G04190	CLCdnDe7_14122
AT1G04200	1	CLCdnDe14_25359	AT1G04200	CLCdnDe14_25359
AT1G04210	1	CLCdnDe13_9515	AT1G04210	CLCdnDe13_9515
AT1G04220	1	CLCdnDe12_14299	AT1G04220	CLCdnDe12_14299
AT1G04240	1	CLCdnPW50_82537	AT1G04240	CLCdnPW50_82537
AT1G04260	1	CLCdnDe10_13630	AT1G04260	CLCdnDe10_13630
AT1G04270	2	CLCdnPW12_10768|SdnRY1_29379	AT1G04270	SdnRY1_29379
AT1G04270	2	CLCdnPW12_10768|SdnRY1_29379	AT1G04270	CLCdnPW12_10768
AT1G04280	2	Sotub06g017000.1.1|SdnRY1_7393	AT1G04280	Sotub06g017000
AT1G04280	2	Sotub06g017000.1.1|SdnRY1_7393	AT1G04280	SdnRY1_7393
AT1G04290	1	CLCdnPW10_10639	AT1G04290	CLCdnPW10_10639
AT1G04300	2	CLCdnDe6_23549|CLCdnRY10_839	AT1G04300	CLCdnRY10_839
AT1G04300	2	CLCdnDe6_23549|CLCdnRY10_839	AT1G04300	CLCdnDe6_23549
AT1G04360	1	CLCdnRY3_54306	AT1G04360	CLCdnRY3_54306
AT1G04390	1	CLCdnPW49_3723	AT1G04390	CLCdnPW49_3723
AT1G04400	1	VdnDe1_33296	AT1G04400	VdnDe1_33296
AT1G04410	1	VdnPW2_7044	AT1G04410	VdnPW2_7044
AT1G04420	2	CLCdnRY10_648|CLCdnDe4_44847	AT1G04420	CLCdnRY10_648
AT1G04420	2	CLCdnRY10_648|CLCdnDe4_44847	AT1G04420	CLCdnDe4_44847
AT1G04430	2	CLCdnDe11_23714|VdnDe2_108376	AT1G04430	VdnDe2_108376
AT1G04430	2	CLCdnDe11_23714|VdnDe2_108376	AT1G04430	CLCdnDe11_23714
AT1G04500	2	CLCdnRY11_55363|Sotub12g029450.1.1	AT1G04500	Sotub12g029450
AT1G04500	2	CLCdnRY11_55363|Sotub12g029450.1.1	AT1G04500	CLCdnRY11_55363
AT1G04510	2	CLCdnPW45_4466|CLCdnDe12_275	AT1G04510	CLCdnPW45_4466
AT1G04510	2	CLCdnPW45_4466|CLCdnDe12_275	AT1G04510	CLCdnDe12_275
AT1G04520	3	CLCdnRY10_40637|VdnDe2_39403|CLCdnDe10_33371	AT1G04520	VdnDe2_39403
AT1G04520	3	CLCdnRY10_40637|VdnDe2_39403|CLCdnDe10_33371	AT1G04520	CLCdnRY10_40637
AT1G04520	3	CLCdnRY10_40637|VdnDe2_39403|CLCdnDe10_33371	AT1G04520	CLCdnDe10_33371
AT1G04530	1	CLCdnDe1_4103	AT1G04530	CLCdnDe1_4103
AT1G04550	1	Sotub12g029500.1.1	AT1G04550	Sotub12g029500
AT1G04555	1	VdnDe5_22321	AT1G04555	VdnDe5_22321
AT1G04560	3	Sotub05g025830.1.1|Sotub09g026750.1.1|CLCdnDe10_36359	AT1G04560	Sotub09g026750
AT1G04560	3	Sotub05g025830.1.1|Sotub09g026750.1.1|CLCdnDe10_36359	AT1G04560	Sotub05g025830
AT1G04560	3	Sotub05g025830.1.1|Sotub09g026750.1.1|CLCdnDe10_36359	AT1G04560	CLCdnDe10_36359
AT1G04570	1	CLCdnDe11_63561	AT1G04570	CLCdnDe11_63561
AT1G04590	1	Sotub04g020400.1.1	AT1G04590	Sotub04g020400
AT1G04600	1	Sotub09g027080.1.1	AT1G04600	Sotub09g027080
AT1G04610	1	Sotub09g027090.1.1	AT1G04610	Sotub09g027090
AT1G04620	1	SdnRY1_12792	AT1G04620	SdnRY1_12792
AT1G04625	1	PGSC0003DMP400009052	AT1G04625	PGSC0003DMC400009052
AT1G04635	1	CLCdnDe14_85919	AT1G04635	CLCdnDe14_85919
AT1G04640	1	CLCdnDe7_34448	AT1G04640	CLCdnDe7_34448
AT1G04645	1	Sotub06g032380.1.1	AT1G04645	Sotub06g032380
AT1G04650	2	CLCdnRY11_52947|CLCdnDe14_154341	AT1G04650	CLCdnRY11_52947
AT1G04650	2	CLCdnRY11_52947|CLCdnDe14_154341	AT1G04650	CLCdnDe14_154341
AT1G04690	1	VdnPW4_36166	AT1G04690	VdnPW4_36166
AT1G04700	1	CLCdnDe10_65261	AT1G04700	CLCdnDe10_65261
AT1G04730	1	Sotub09g027990.1.1	AT1G04730	Sotub09g027990
AT1G04750	1	CLCdnDe13_12814	AT1G04750	CLCdnDe13_12814
AT1G04770	1	CLCdnRY9_7127	AT1G04770	CLCdnRY9_7127
AT1G04780	1	VdnPW1_72988	AT1G04780	VdnPW1_72988
AT1G04790	1	CLCdnRY8_16393	AT1G04790	CLCdnRY8_16393
AT1G04840	1	CLCdnDe2_90393	AT1G04840	CLCdnDe2_90393
AT1G04850	2	CLCdnPW46_684|PBdnRY1_11248	AT1G04850	PBdnRY1_11248
AT1G04850	2	CLCdnPW46_684|PBdnRY1_11248	AT1G04850	CLCdnPW46_684
AT1G04860	2	CLCdnDe10_17779|CLCdnRY7_37694	AT1G04860	CLCdnRY7_37694
AT1G04860	2	CLCdnDe10_17779|CLCdnRY7_37694	AT1G04860	CLCdnDe10_17779
AT1G04870	1	CLCdnPW19_31916	AT1G04870	CLCdnPW19_31916
AT1G04880	2	CLCdnRY12_42554|Sotub09g028520.1.1	AT1G04880	Sotub09g028520
AT1G04880	2	CLCdnRY12_42554|Sotub09g028520.1.1	AT1G04880	CLCdnRY12_42554
AT1G04900	1	CLCdnDe5_44328	AT1G04900	CLCdnDe5_44328
AT1G04910	1	CLCdnDe10_33903	AT1G04910	CLCdnDe10_33903
AT1G04920	1	CLCdnDe13_21657	AT1G04920	CLCdnDe13_21657
AT1G04940	2	VdnPW1_68763|CLCdnDe11_157682	AT1G04940	VdnPW1_68763
