ITAG.PGSC.ID	clade	geneID
PGSC0003DMC400054039	ACS1,2,6	VdnDe4_150865
Sotub08g024120	ACX1,5	SdnRY1_4796
Sotub08g024130	ACX1,5	Sotub08g024130
Sotub10g008540	ACX3,6	PBdnRY1_11896
Sotub10g008610	ACX3,6	Sotub10g008610
Sotub06g031090	ADT	CLCdnRY10_10011
Sotub02g023790	ADT	CLCdnPW10_13123
Sotub11g029450	ADT	Sotub11g029450
Sotub11g024700	ADT	VdnDe3_71455
Sotub06g028680	AGO1,5,7,10	CLCdnRY10_15876
Sotub01g018640	AGO1,5,7,10	CLCdnDe4_31642
Sotub06g030960	AGO1,5,7,10	Sotub06g030960
Sotub09g024320	AGO1,5,7,10	CLCdnPW2_24838
Sotub12g010550	AGO1,5,7,10	CLCdnDe1_15427
Sotub03g022990	AGO1,5,7,10	VdnDe3_168
Sotub02g028860	AOC	VdnPW1_24508
Sotub01g046460	AOS	CLCdnDe10_127176
Sotub01g046480	AOS	Sotub01g046480
Sotub04g032980	AOS	VdnDe3_35551
Sotub11g026710	AOS	CLCdnDe11_29848
Sotub10g008380	AOS	VdnDe2_295862
Sotub01g046470	AOS	CLCdnDe10_120177
Sotub01g048890	APX1,2	VdnDe2_180408
PGSC0003DMC400052341	APX1,2	CLCdnPW22_4338
PGSC0003DMC400052356	APX1,2	CLCdnPW22_4338
Sotub02g026930	APX1,2	CLCdnPW50_43492
Sotub09g006730	APX1,2	CLCdnDe11_13279
Sotub01g048890	APX3	VdnDe2_180408
PGSC0003DMC400052341	APX3	CLCdnPW22_4338
PGSC0003DMC400052356	APX3	CLCdnPW22_4338
Sotub02g026930	APX3	CLCdnPW50_43492
Sotub09g006730	APX3	CLCdnDe11_13279
Sotub04g028420	APX4	CLCdnDe14_25904
Sotub01g048890	APX5	VdnDe2_180408
PGSC0003DMC400052356	APX5	CLCdnPW22_4338
PGSC0003DMC400052341	APX5	CLCdnPW22_4338
Sotub02g026930	APX5	CLCdnPW50_43492
Sotub09g006730	APX5	CLCdnDe11_13279
Sotub08g011590	APX6	CLCdnRY10_7437
Sotub11g019020	ASK	VdnDe1_108368
Sotub10g019250	ASK	VdnPW3_39849
Sotub10g019240	ASK	VdnPW3_39849
Sotub01g049060	ASK	VdnDe3_108971
Sotub11g012210	ASK	Sotub11g012210
Sotub11g020070	ASK	Sotub11g020070
Sotub12g019740	ASK	Sotub12g017090
Sotub12g017090	ASK	Sotub12g017090
Sotub01g049050	ASK	CLCdnPW12_3306
Sotub11g012410	ASK	Sotub11g012410
Sotub11g012400	ASK	Sotub11g012410
Sotub11g012420	ASK	Sotub11g012410
Sotub11g012180	ASK	Sotub11g012410
Sotub10g019220	ASK	VdnPW5_59795
Sotub12g019670	ASK	Sotub12g019770
Sotub02g021880	ASK	Sotub02g021880
Sotub02g011620	ASK	Sotub02g021880
Sotub02g011590	ASK	Sotub02g021880
Sotub12g019750	ASK	Sotub12g017110
Sotub12g019760	ASK	Sotub12g017110
Sotub11g020040	ASK	Sotub12g017110
Sotub02g021920	ASK	Sotub12g017110
Sotub03g025460	ASK	Sotub12g017110
Sotub12g017110	ASK	Sotub12g017110
Sotub02g021930	ASK	Sotub12g017110
Sotub02g036060	ASK	Sotub12g017110
Sotub02g021940	ASK	Sotub12g017110
Sotub02g021870	ASK	Sotub12g017110
Sotub02g021910	ASK	Sotub02g021910
Sotub12g019680	ASK	Sotub12g019680
Sotub02g021860	ASK	Sotub12g017070
Sotub06g013890	ASK	Sotub06g013890
Sotub12g019780	ASK	Sotub12g019780
PGSC0003DMC400056384	ATPB	PBdnRY1_64
Sotub01g011240	ATPB	Sotub05g007200
Sotub04g006160	ATPB	CLCdnPW10_4222
Sotub05g009270	ATPB	CLCdnRY10_976
Sotub02g029710	ATPB	CLCdnDe11_90765
Sotub01g011250	ATPB	CLCdnDe8_44
Sotub01g017890	BG	PBdnRY1_427
Sotub01g017930	BG	PBdnRY1_427
Sotub10g021570	BG	VdnPW1_43703
Sotub02g036210	BG	VdnDe2_213601
PGSC0003DMC400004183	BG	Sotub01g009290
PGSC0003DMC400004190	BG	Sotub01g009290
Sotub01g009290	BG	Sotub01g009290
PGSC0003DMC400018566	BG	PBdnRY1_329
Sotub01g009320	BG	CLCdnRY11_12237
Sotub01g009330	BG	CLCdnRY11_12237
Sotub03g014160	BG	Sotub03g014160
Sotub04g016000	BG	Sotub04g016000
Sotub11g023180	BG	Sotub11g023180
Sotub03g014150	BG	Sotub03g014150
Sotub01g009360	BG	Sotub01g009360
Sotub01g017900	BG	Sotub01g017900
PGSC0003DMC400052245	BG	PGSC0003DMC400052245
Sotub01g017910	BG	CLCdnDe10_98000
Sotub04g014510	BG	Sotub04g014510
Sotub08g029300	bHLH	CLCdnPW11_25321
PGSC0003DMC400022834	bHLH	PGSC0003DMC400022834
PGSC0003DMC400030781	BIK1	VdnDe3_48168
PGSC0003DMC400033649	BIK1	PGSC0003DMC400033649
Sotub06g021950	BIK1	VdnDe2_78616
Sotub07g008510	BIK1	VdnDe1_7702
Sotub07g016060	BIK1	CLCdnDe9_37906
Sotub07g015020	BIK1	CLCdnPW48_22804
Sotub08g013940	BIK1	CLCdnDe4_16249
Sotub11g021090	BIK1	VdnDe1_115911
Sotub04g035960	BIK1	VdnDe2_102759
Sotub10g018160	BIK1	CLCdnDe1_21538
Sotub05g011210	BIK1	VdnDe2_38894
Sotub01g017740	BIK1	VdnDe2_38894
Sotub12g023010	BIK1	CLCdnDe11_17561
Sotub08g019980	BIK1	CLCdnDe14_165683
Sotub03g008830	BIK1	PBdnRY1_3796
Sotub01g049890	BIK1	CLCdnPW34_22093
Sotub09g009130	BIK1	CLCdnDe12_22886
Sotub02g009410	BIK1	CLCdnPW16_24897
Sotub10g024160	BIK1	CLCdnRY7_7420
Sotub05g020810	BIK1	Sotub05g020810
PGSC0003DMC400007826	BIK1	CLCdnPW50_14518
Sotub04g010100	BIK1	CLCdnPW15_6017
Sotub01g015300	BIK1	PBdnRY1_1412
Sotub12g008660	BIK1	CLCdnPW2_11150
Sotub01g009570	BIK1	Sotub01g009570
Sotub02g035020	BIK1	Sotub02g035020
Sotub01g017550	BIK1	VdnDe2_114670
Sotub11g028950	CAM4	PBdnRY1_13674
Sotub06g016850	CAM4	VdnRY6_10142
Sotub10g019410	CAM4	SdnRY1_30727
PGSC0003DMC400039343	CAM4	TDe_comp106622_c0_seq7
Sotub03g022690	CAM4	CLCdnRY9_4746
PGSC0003DMC400069337	CAM4	PGSC0003DMC400069337
PGSC0003DMC400036526	CAM4	PGSC0003DMC400069337
Sotub03g005470	CAM4	Sotub03g005470
Sotub01g042780	CAM4	CLCdnPW29_62228
Sotub05g014900	CAM4	Sotub05g014900
PGSC0003DMC400009761	CAM4	VdnPW5_4870
Sotub04g020530	CAMTA	Sotub04g020530
PGSC0003DMC400056415	CAMTA	CLCdnDe10_11870
Sotub01g012330	CAMTA	CLCdnRY11_32699
Sotub12g027890	CAT1,2,3	SdnRY1_9867
Sotub02g026140	CAT1,2,3	VdnDe3_53903
Sotub04g035910	CAT1,2,3	CLCdnDe13_64460
Sotub01g038060	CBP60G	CLCdnDe12_9172
Sotub12g012590	CLH	CLCdnDe2_19388
Sotub06g016810	CLH	CLCdnDe11_13919
Sotub09g020390	CLH	Sotub09g020390
Sotub09g024540	CLH	Sotub09g024540
Sotub02g034450	CM	CLCdnDe11_15896
Sotub11g013610	CM	CLCdnPW36_19743
Sotub11g028220	CML40	CLCdnRY7_33714
Sotub11g028190	CML40	Sotub11g028200
Sotub11g028200	CML40	Sotub11g028200
Sotub11g028210	CML40	Sotub11g028210
Sotub11g011120	CML40	Sotub11g028210
Sotub02g037190	CML40	CLCdnDe12_157675
Sotub03g005260	CML40	Sotub03g005260
Sotub10g018180	CML42	CLCdnPW11_22198
Sotub02g033400	CO	CLCdnDe12_28030
PGSC0003DMC400017799	CO	CLCdnDe12_28030
Sotub07g005120	CO	PBdnRY1_9252
Sotub08g007760	CO	VdnDe3_60729
Sotub12g028840	CO	VdnDe5_15353
Sotub12g017780	CO	PGSC0003DMC400011329
PGSC0003DMC400011329	CO	PGSC0003DMC400011329
Sotub01g014740	CO	PGSC0003DMC400011329
Sotub05g025280	COI1	CLCdnPW2_2439
PGSC0003DMC400007870	CPK4,5,6,11	PGSC0003DMC400007870
Sotub11g005050	CPK4,5,6,11	VdnPW1_13714
Sotub10g026370	CPK4,5,6,11	CLCdnDe11_95077
Sotub01g007410	CPK4,5,6,11	Sotub01g007410
Sotub10g026480	CPK4,5,6,11	Sotub10g026480
Sotub01g007290	CPK4,5,6,11	Sotub01g007290
PGSC0003DMC400044117	CPK4,5,6,11	PGSC0003DMC400044117
Sotub04g035300	CPK4,5,6,11	CLCdnRY11_35384
Sotub10g017440	CPK4,5,6,11	CLCdnPW20_6059
Sotub12g031760	CPK4,5,6,11	CLCdnDe12_94839
Sotub12g012910	CPK4,5,6,11	CLCdnDe12_22186
Sotub11g020700	CPK4,5,6,11	Sotub11g020700
Sotub07g029220	CPK4,5,6,11	Sotub07g029220
Sotub08g009670	CPK4,5,6,11	CLCdnDe7_1574
Sotub06g024400	CPK4,5,6,11	Sotub06g024400
Sotub11g014830	CPK4,5,6,11	CLCdnDe12_23620
Sotub05g029790	CPK4,5,6,11	CLCdnPW14_15193
Sotub10g019340	CPK4,5,6,11	Sotub10g019340
Sotub01g038210	CRT1,2	VdnPW3_16190
Sotub05g029430	CRT1,2	PBdnRY1_7367
Sotub04g016930	CRT1,2	VdnDe4_28335
Sotub01g038210	CRT3	VdnPW3_16190
Sotub05g029430	CRT3	PBdnRY1_7367
Sotub04g016930	CRT3	VdnDe4_28335
PGSC0003DMC400050129	CTR	CLCdnRY7_21153
Sotub04g029180	CTR	VdnPW2_134577
Sotub10g022900	CTR	VdnDe4_11121
Sotub09g011220	CTR	CLCdnPW32_16237
Sotub10g025550	CTR	CLCdnPW13_11003
Sotub04g020700	CTS	VdnPW3_67092
Sotub01g037110	CUL	CLCdnPW22_11479
PGSC0003DMC400025917	CUL	SdnRY1_27219
Sotub01g021170	CUL	CLCdnDe11_111894
Sotub01g021260	CUL	CLCdnDe3_94760
Sotub01g021180	CUL	CLCdnDe3_94760
Sotub01g021200	CUL	CLCdnDe3_94760
Sotub06g035020	CUL	Sotub06g035020
Sotub09g010050	CUL	CLCdnRY3_19755
Sotub09g022430	CUL	CLCdnRY3_19755
Sotub09g009950	CUL	CLCdnRY3_19755
Sotub09g010030	CUL	CLCdnRY3_19755
Sotub01g021280	CUL	Sotub01g021280
Sotub10g012280	CUL	Sotub10g012280
PGSC0003DMC400009443	CUL	PGSC0003DMC400009443
Sotub06g031170	CYP94	Sotub06g031170
Sotub11g023570	CYP94	Sotub11g023570
Sotub02g037290	CYP94	Sotub02g037290
Sotub11g011590	CYP94	CLCdnDe3_70477
Sotub07g008100	CYP94	Sotub07g008100
Sotub09g019210	CYP94	CLCdnDe11_55175
PGSC0003DMC400012760	CYP94	CLCdnRY11_7239
Sotub09g010350	CYP94	Sotub09g010360
Sotub09g010360	CYP94	Sotub09g010360
Sotub03g023820	CYP94	CLCdnDe7_162024
Sotub03g023800	CYP94	CLCdnDe7_162024
PGSC0003DMC400026644	CYP94	CLCdnDe7_162024
Sotub03g023790	CYP94	CLCdnDe7_162024
Sotub03g023780	CYP94	CLCdnDe7_162024
Sotub02g020380	DNAJ	VdnDe1_49821
Sotub07g021630	DNAJ	VdnDe3_63134
Sotub09g005400	DNAJ	CLCdnDe12_17595
Sotub06g027140	DNAJ	CLCdnDe12_37225
Sotub08g018130	DNAJ	Sotub08g018130
Sotub04g005500	DNAJ	VdnPW3_40571
Sotub05g011560	DNAJ	CLCdnPW50_2470
Sotub01g021980	DXPS	CLCdnRY8_1016
Sotub11g008820	DXPS	CLCdnDe13_16711
Sotub06g013260	EBF	Sotub06g013260
Sotub06g013380	EBF	Sotub06g013380
PGSC0003DMC400062748	EBF	PGSC0003DMC400062748
Sotub08g012300	EBF	CLCdnDe7_3698
Sotub05g009000	EBF	Sotub05g009000
Sotub12g008360	EBF	Sotub12g008360
Sotub07g008210	EBF	CLCdnDe6_3699
Sotub05g008970	EBF	Sotub05g008970
Sotub06g012970	EBF	Sotub06g012970
Sotub08g026920	EDF	SdnPW1_7861
Sotub05g007520	EDF	CLCdnPW15_21643
PGSC0003DMC400013222	EDF	CLCdnRY3_11321
Sotub09g009750	EDF	CLCdnRY10_36146
Sotub03g013150	EDF	Sotub03g013150
Sotub08g009160	EDF	VdnDe1_20366
Sotub08g009150	EDF	VdnDe1_20366
Sotub10g025920	EDF	CLCdnDe6_14958
Sotub06g027330	EDS1	VdnDe2_24335
Sotub06g027320	EDS1	VdnDe2_24335
Sotub02g008670	EDS1	CLCdnDe11_31710
Sotub01g047710	EDS5	Sotub01g047710
Sotub01g047700	EDS5	PBdnRY1_2167
Sotub10g018080	EDS5	CLCdnPW49_24435
Sotub09g007420	EIN2	Sotub09g007420
PGSC0003DMC400035838	EIN3(EIL1)	PGSC0003DMC400035838
Sotub03g021380	EIN3(EIL1)	Sotub03g021380
Sotub06g030450	EIN3(EIL1)	VdnPW3_15812
PGSC0003DMC400052101	EIN3(EIL1)	PGSC0003DMC400052101
Sotub01g007190	EIN3(EIL1)	CLCdnRY3_20196
Sotub01g010040	EIN3(EIL1)	PBdnRY1_1384
Sotub06g030440	EIN3(EIL1)	CLCdnRY10_2413
Sotub01g034310	EIN3(EIL1)	CLCdnRY12_8951
Sotub05g024660	ERF098	CLCdnDe7_12139
Sotub08g023780	ERF098	VdnDe3_97689
PGSC0003DMC400019030	ERF098	CLCdnDe6_81830
Sotub04g011610	ERF098	VdnDe3_183936
Sotub05g024670	ERF098	CLCdnDe13_27769
Sotub05g023530	ERF098	CLCdnDe10_70177
Sotub02g020190	ERF098	Sotub02g020190
PGSC0003DMC400019035	ERF098	TDe_comp111735_c0_seq1
Sotub09g026020	ERF098	VdnDe2_155278
Sotub02g020180	ERF098	VdnRY6_19148
Sotub08g023750	ERF098	CLCdnDe13_135091
Sotub08g023760	ERF098	CLCdnDe7_150010
Sotub11g007490	ERF098	CLCdnDe7_15397
Sotub01g029560	ERF098	Sotub01g029560
Sotub01g029520	ERF098	Sotub01g029520
Sotub03g005750	ERF098	CLCdnPW46_44642
Sotub03g030820	ERF098	CLCdnPW46_44642
Sotub01g029490	ERF098	Sotub01g029490
Sotub05g023520	ERF098	Sotub05g023520
Sotub01g029470	ERF098	Sotub01g029470
Sotub05g024650	ERF098	Sotub05g024650
PGSC0003DMC400030113	ERF098	VdnDe1_132299
Sotub01g029440	ERF098	Sotub01g029440
PGSC0003DMC400063967	ERF098	PGSC0003DMC400063967
Sotub08g005000	ERF098	SdnRY1_36755
Sotub11g016330	ERF098	CLCdnDe14_71956
Sotub09g019380	ERF098	CLCdnDe14_71956
Sotub01g029570	ERF098	Sotub01g029570
Sotub11g005390	ERF098	Sotub11g005390
Sotub05g023100	ERF098	Sotub05g023100
Sotub09g019370	ERF098	CLCdnDe7_119339
Sotub11g007500	ERF098	CLCdnPW45_14072
Sotub01g029460	ERF098	Sotub01g029460
Sotub11g007510	ERF098	CLCdnDe5_92874
Sotub09g026030	ERF098	CLCdnDe3_133591
Sotub03g005740	ERF098	Sotub03g005740
Sotub09g019360	ERF098	Sotub09g019360
Sotub03g005730	ERF098	CLCdnDe11_149988
PGSC0003DMC400046392	ERF098	PGSC0003DMC400046392
Sotub05g024660	ERF1,2	CLCdnDe7_12139
Sotub08g023780	ERF1,2	VdnDe3_97689
PGSC0003DMC400019030	ERF1,2	CLCdnDe6_81830
Sotub04g011610	ERF1,2	VdnDe3_183936
Sotub05g024670	ERF1,2	CLCdnDe13_27769
Sotub05g023530	ERF1,2	CLCdnDe10_70177
Sotub02g020190	ERF1,2	Sotub02g020190
PGSC0003DMC400019035	ERF1,2	TDe_comp111735_c0_seq1
Sotub09g026020	ERF1,2	VdnDe2_155278
Sotub02g020180	ERF1,2	VdnRY6_19148
Sotub08g023750	ERF1,2	CLCdnDe13_135091
Sotub08g023760	ERF1,2	CLCdnDe7_150010
Sotub11g007490	ERF1,2	CLCdnDe7_15397
Sotub01g029560	ERF1,2	Sotub01g029560
Sotub01g029520	ERF1,2	Sotub01g029520
Sotub03g030820	ERF1,2	CLCdnPW46_44642
Sotub03g005750	ERF1,2	CLCdnPW46_44642
Sotub01g029490	ERF1,2	Sotub01g029490
Sotub05g023520	ERF1,2	Sotub05g023520
Sotub01g029470	ERF1,2	Sotub01g029470
Sotub05g024650	ERF1,2	Sotub05g024650
PGSC0003DMC400030113	ERF1,2	VdnDe1_132299
Sotub01g029440	ERF1,2	Sotub01g029440
PGSC0003DMC400063967	ERF1,2	PGSC0003DMC400063967
Sotub08g005000	ERF1,2	SdnRY1_36755
Sotub09g019380	ERF1,2	CLCdnDe14_71956
Sotub11g016330	ERF1,2	CLCdnDe14_71956
Sotub01g029570	ERF1,2	Sotub01g029570
Sotub11g005390	ERF1,2	Sotub11g005390
Sotub05g023100	ERF1,2	Sotub05g023100
Sotub09g019370	ERF1,2	CLCdnDe7_119339
Sotub11g007500	ERF1,2	CLCdnPW45_14072
Sotub01g029460	ERF1,2	Sotub01g029460
Sotub11g007510	ERF1,2	CLCdnDe5_92874
Sotub09g026030	ERF1,2	CLCdnDe3_133591
Sotub03g005740	ERF1,2	Sotub03g005740
Sotub09g019360	ERF1,2	Sotub09g019360
Sotub03g005730	ERF1,2	CLCdnDe11_149988
PGSC0003DMC400046392	ERF1,2	PGSC0003DMC400046392
Sotub05g024660	ERF104	CLCdnDe7_12139
Sotub08g023780	ERF104	VdnDe3_97689
PGSC0003DMC400019030	ERF104	CLCdnDe6_81830
Sotub04g011610	ERF104	VdnDe3_183936
Sotub05g024670	ERF104	CLCdnDe13_27769
Sotub05g023530	ERF104	CLCdnDe10_70177
Sotub02g020190	ERF104	Sotub02g020190
PGSC0003DMC400019035	ERF104	TDe_comp111735_c0_seq1
Sotub09g026020	ERF104	VdnDe2_155278
Sotub02g020180	ERF104	VdnRY6_19148
Sotub08g023750	ERF104	CLCdnDe13_135091
Sotub08g023760	ERF104	CLCdnDe7_150010
Sotub11g007490	ERF104	CLCdnDe7_15397
Sotub01g029560	ERF104	Sotub01g029560
Sotub01g029520	ERF104	Sotub01g029520
Sotub03g005750	ERF104	CLCdnPW46_44642
Sotub03g030820	ERF104	CLCdnPW46_44642
Sotub01g029490	ERF104	Sotub01g029490
Sotub05g023520	ERF104	Sotub05g023520
Sotub01g029470	ERF104	Sotub01g029470
Sotub05g024650	ERF104	Sotub05g024650
PGSC0003DMC400030113	ERF104	VdnDe1_132299
Sotub01g029440	ERF104	Sotub01g029440
PGSC0003DMC400063967	ERF104	PGSC0003DMC400063967
Sotub08g005000	ERF104	SdnRY1_36755
Sotub11g016330	ERF104	CLCdnDe14_71956
Sotub09g019380	ERF104	CLCdnDe14_71956
Sotub01g029570	ERF104	Sotub01g029570
Sotub11g005390	ERF104	Sotub11g005390
Sotub05g023100	ERF104	Sotub05g023100
Sotub09g019370	ERF104	CLCdnDe7_119339
Sotub11g007500	ERF104	CLCdnPW45_14072
Sotub01g029460	ERF104	Sotub01g029460
Sotub11g007510	ERF104	CLCdnDe5_92874
Sotub09g026030	ERF104	CLCdnDe3_133591
Sotub03g005740	ERF104	Sotub03g005740
Sotub09g019360	ERF104	Sotub09g019360
Sotub03g005730	ERF104	CLCdnDe11_149988
PGSC0003DMC400046392	ERF104	PGSC0003DMC400046392
Sotub05g024660	ERF105	CLCdnDe7_12139
Sotub08g023780	ERF105	VdnDe3_97689
PGSC0003DMC400019030	ERF105	CLCdnDe6_81830
Sotub04g011610	ERF105	VdnDe3_183936
Sotub05g024670	ERF105	CLCdnDe13_27769
Sotub05g023530	ERF105	CLCdnDe10_70177
Sotub02g020190	ERF105	Sotub02g020190
PGSC0003DMC400019035	ERF105	TDe_comp111735_c0_seq1
Sotub09g026020	ERF105	VdnDe2_155278
Sotub12g018750	ERF105	Sotub12g018750
Sotub12g018760	ERF105	Sotub12g018750
Sotub02g020180	ERF105	VdnRY6_19148
Sotub08g023750	ERF105	CLCdnDe13_135091
Sotub08g023760	ERF105	CLCdnDe7_150010
Sotub11g007490	ERF105	CLCdnDe7_15397
Sotub01g029560	ERF105	Sotub01g029560
Sotub01g029520	ERF105	Sotub01g029520
Sotub03g005750	ERF105	CLCdnPW46_44642
Sotub03g030820	ERF105	CLCdnPW46_44642
Sotub01g029490	ERF105	Sotub01g029490
Sotub05g023520	ERF105	Sotub05g023520
Sotub01g029470	ERF105	Sotub01g029470
Sotub05g024650	ERF105	Sotub05g024650
PGSC0003DMC400030113	ERF105	VdnDe1_132299
Sotub01g029440	ERF105	Sotub01g029440
PGSC0003DMC400063967	ERF105	PGSC0003DMC400063967
Sotub08g005000	ERF105	SdnRY1_36755
Sotub09g019380	ERF105	CLCdnDe14_71956
Sotub11g016330	ERF105	CLCdnDe14_71956
Sotub01g029570	ERF105	Sotub01g029570
Sotub11g005390	ERF105	Sotub11g005390
Sotub05g023100	ERF105	Sotub05g023100
Sotub09g019370	ERF105	CLCdnDe7_119339
Sotub11g007500	ERF105	CLCdnPW45_14072
Sotub01g029460	ERF105	Sotub01g029460
Sotub11g007510	ERF105	CLCdnDe5_92874
Sotub09g026030	ERF105	CLCdnDe3_133591
Sotub03g005740	ERF105	Sotub03g005740
Sotub09g019360	ERF105	Sotub09g019360
Sotub03g005730	ERF105	CLCdnDe11_149988
PGSC0003DMC400046392	ERF105	PGSC0003DMC400046392
Sotub05g024660	ERF13	CLCdnDe7_12139
Sotub08g023780	ERF13	VdnDe3_97689
PGSC0003DMC400019030	ERF13	CLCdnDe6_81830
Sotub04g011610	ERF13	VdnDe3_183936
Sotub05g024670	ERF13	CLCdnDe13_27769
Sotub05g023530	ERF13	CLCdnDe10_70177
Sotub02g020190	ERF13	Sotub02g020190
PGSC0003DMC400019035	ERF13	TDe_comp111735_c0_seq1
Sotub09g026020	ERF13	VdnDe2_155278
Sotub02g020180	ERF13	VdnRY6_19148
Sotub08g023750	ERF13	CLCdnDe13_135091
Sotub08g023760	ERF13	CLCdnDe7_150010
Sotub11g007490	ERF13	CLCdnDe7_15397
Sotub01g029560	ERF13	Sotub01g029560
Sotub01g029520	ERF13	Sotub01g029520
Sotub03g030820	ERF13	CLCdnPW46_44642
Sotub03g005750	ERF13	CLCdnPW46_44642
Sotub01g029490	ERF13	Sotub01g029490
Sotub05g023520	ERF13	Sotub05g023520
Sotub01g029470	ERF13	Sotub01g029470
Sotub05g024650	ERF13	Sotub05g024650
PGSC0003DMC400030113	ERF13	VdnDe1_132299
Sotub01g029440	ERF13	Sotub01g029440
PGSC0003DMC400063967	ERF13	PGSC0003DMC400063967
Sotub08g005000	ERF13	SdnRY1_36755
Sotub11g016330	ERF13	CLCdnDe14_71956
Sotub09g019380	ERF13	CLCdnDe14_71956
Sotub01g029570	ERF13	Sotub01g029570
Sotub11g005390	ERF13	Sotub11g005390
Sotub05g023100	ERF13	Sotub05g023100
Sotub09g019370	ERF13	CLCdnDe7_119339
Sotub11g007500	ERF13	CLCdnPW45_14072
Sotub01g029460	ERF13	Sotub01g029460
Sotub11g007510	ERF13	CLCdnDe5_92874
Sotub09g026030	ERF13	CLCdnDe3_133591
Sotub03g005740	ERF13	Sotub03g005740
Sotub09g019360	ERF13	Sotub09g019360
Sotub03g005730	ERF13	CLCdnDe11_149988
PGSC0003DMC400046392	ERF13	PGSC0003DMC400046392
Sotub05g024660	ERF14,95,96	CLCdnDe7_12139
Sotub08g023780	ERF14,95,96	VdnDe3_97689
PGSC0003DMC400019030	ERF14,95,96	CLCdnDe6_81830
Sotub04g011610	ERF14,95,96	VdnDe3_183936
Sotub05g024670	ERF14,95,96	CLCdnDe13_27769
Sotub05g023530	ERF14,95,96	CLCdnDe10_70177
Sotub02g020190	ERF14,95,96	Sotub02g020190
PGSC0003DMC400019035	ERF14,95,96	TDe_comp111735_c0_seq1
Sotub09g026020	ERF14,95,96	VdnDe2_155278
Sotub02g020180	ERF14,95,96	VdnRY6_19148
Sotub08g023750	ERF14,95,96	CLCdnDe13_135091
Sotub08g023760	ERF14,95,96	CLCdnDe7_150010
Sotub11g007490	ERF14,95,96	CLCdnDe7_15397
Sotub01g029560	ERF14,95,96	Sotub01g029560
Sotub01g029520	ERF14,95,96	Sotub01g029520
Sotub03g005750	ERF14,95,96	CLCdnPW46_44642
Sotub03g030820	ERF14,95,96	CLCdnPW46_44642
Sotub01g029490	ERF14,95,96	Sotub01g029490
Sotub05g023520	ERF14,95,96	Sotub05g023520
Sotub01g029470	ERF14,95,96	Sotub01g029470
Sotub05g024650	ERF14,95,96	Sotub05g024650
PGSC0003DMC400030113	ERF14,95,96	VdnDe1_132299
Sotub01g029440	ERF14,95,96	Sotub01g029440
PGSC0003DMC400063967	ERF14,95,96	PGSC0003DMC400063967
Sotub08g005000	ERF14,95,96	SdnRY1_36755
Sotub09g019380	ERF14,95,96	CLCdnDe14_71956
Sotub11g016330	ERF14,95,96	CLCdnDe14_71956
Sotub01g029570	ERF14,95,96	Sotub01g029570
Sotub11g005390	ERF14,95,96	Sotub11g005390
Sotub05g023100	ERF14,95,96	Sotub05g023100
Sotub09g019370	ERF14,95,96	CLCdnDe7_119339
Sotub11g007500	ERF14,95,96	CLCdnPW45_14072
Sotub01g029460	ERF14,95,96	Sotub01g029460
Sotub11g007510	ERF14,95,96	CLCdnDe5_92874
