clade	geneID
CUL	PGSC0003DMC400009443
CYP94	Sotub06g031170
CYP94	Sotub11g023570
CYP94	Sotub02g037290
CYP94	Sotub11g011590
CYP94	Sotub07g008100
CYP94	Sotub09g019210
CYP94	PGSC0003DMC400012760
CYP94	Sotub09g010350
CYP94	Sotub09g010360
CYP94	Sotub03g023820
CYP94	Sotub03g023800
CYP94	PGSC0003DMC400026644
CYP94	Sotub03g023790
CYP94	Sotub03g023780
DNAJ	Sotub02g020380
DNAJ	Sotub07g021630
DNAJ	Sotub09g005400
DNAJ	Sotub06g027140
DNAJ	Sotub08g018130
DNAJ	Sotub04g005500
DNAJ	Sotub05g011560
DXPS	Sotub01g021980
DXPS	Sotub11g008820
EBF	Sotub06g013260
EBF	Sotub06g013380
EBF	PGSC0003DMC400062748
EBF	Sotub08g012300
EBF	Sotub05g009000
EBF	Sotub12g008360
EBF	Sotub07g008210
EBF	Sotub05g008970
EBF	Sotub06g012970
EDF	Sotub08g026920
EDF	Sotub05g007520
EDF	PGSC0003DMC400013222
EDF	Sotub09g009750
EDF	Sotub03g013150
EDF	Sotub08g009160
EDF	Sotub08g009150
EDF	Sotub10g025920
EDS1	Sotub06g027330
EDS1	Sotub06g027320
EDS1	Sotub02g008670
EDS5	Sotub01g047710
EDS5	Sotub01g047700
EDS5	Sotub10g018080
EIN2	Sotub09g007420
EIN3(EIL1)	PGSC0003DMC400035838
EIN3(EIL1)	Sotub03g021380
EIN3(EIL1)	Sotub06g030450
EIN3(EIL1)	PGSC0003DMC400052101
EIN3(EIL1)	Sotub01g007190
EIN3(EIL1)	Sotub01g010040
EIN3(EIL1)	Sotub06g030440
EIN3(EIL1)	Sotub01g034310
ERF098	Sotub05g024660
ERF098	Sotub08g023780
ERF098	PGSC0003DMC400019030
ERF098	Sotub04g011610
ERF098	Sotub05g024670
ERF098	Sotub05g023530
ERF098	Sotub02g020190
ERF098	PGSC0003DMC400019035
ERF098	Sotub09g026020
ERF098	Sotub02g020180
ERF098	Sotub08g023750
ERF098	Sotub08g023760
ERF098	Sotub11g007490
ERF098	Sotub01g029560
ERF098	Sotub01g029520
ERF098	Sotub03g005750
ERF098	Sotub03g030820
ERF098	Sotub01g029490
ERF098	Sotub05g023520
ERF098	Sotub01g029470
ERF098	Sotub05g024650
ERF098	PGSC0003DMC400030113
ERF098	Sotub01g029440
ERF098	PGSC0003DMC400063967
ERF098	Sotub08g005000
ERF098	Sotub11g016330
ERF098	Sotub09g019380
ERF098	Sotub01g029570
ERF098	Sotub11g005390
ERF098	Sotub05g023100
ERF098	Sotub09g019370
ERF098	Sotub11g007500
ERF098	Sotub01g029460
ERF098	Sotub11g007510
ERF098	Sotub09g026030
ERF098	Sotub03g005740
ERF098	Sotub09g019360
ERF098	Sotub03g005730
ERF098	PGSC0003DMC400046392
ERF1,2	Sotub05g024660
ERF1,2	Sotub08g023780
ERF1,2	PGSC0003DMC400019030
ERF1,2	Sotub04g011610
ERF1,2	Sotub05g024670
ERF1,2	Sotub05g023530
ERF1,2	Sotub02g020190
ERF1,2	PGSC0003DMC400019035
ERF1,2	Sotub09g026020
ERF1,2	Sotub02g020180
ERF1,2	Sotub08g023750
ERF1,2	Sotub08g023760
ERF1,2	Sotub11g007490
ERF1,2	Sotub01g029560
ERF1,2	Sotub01g029520
ERF1,2	Sotub03g030820
ERF1,2	Sotub03g005750
ERF1,2	Sotub01g029490
ERF1,2	Sotub05g023520
ERF1,2	Sotub01g029470
ERF1,2	Sotub05g024650
ERF1,2	PGSC0003DMC400030113
ERF1,2	Sotub01g029440
ERF1,2	PGSC0003DMC400063967
ERF1,2	Sotub08g005000
ERF1,2	Sotub09g019380
ERF1,2	Sotub11g016330
ERF1,2	Sotub01g029570
ERF1,2	Sotub11g005390
ERF1,2	Sotub05g023100
ERF1,2	Sotub09g019370
ERF1,2	Sotub11g007500
ERF1,2	Sotub01g029460
ERF1,2	Sotub11g007510
ERF1,2	Sotub09g026030
ERF1,2	Sotub03g005740
ERF1,2	Sotub09g019360
ERF1,2	Sotub03g005730
ERF1,2	PGSC0003DMC400046392
ERF104	Sotub05g024660
ERF104	Sotub08g023780
ERF104	PGSC0003DMC400019030
ERF104	Sotub04g011610
ERF104	Sotub05g024670
ERF104	Sotub05g023530
ERF104	Sotub02g020190
ERF104	PGSC0003DMC400019035
ERF104	Sotub09g026020
ERF104	Sotub02g020180
ERF104	Sotub08g023750
ERF104	Sotub08g023760
ERF104	Sotub11g007490
ERF104	Sotub01g029560
ERF104	Sotub01g029520
ERF104	Sotub03g005750
ERF104	Sotub03g030820
ERF104	Sotub01g029490
ERF104	Sotub05g023520
ERF104	Sotub01g029470
ERF104	Sotub05g024650
ERF104	PGSC0003DMC400030113
ERF104	Sotub01g029440
ERF104	PGSC0003DMC400063967
ERF104	Sotub08g005000
ERF104	Sotub11g016330
ERF104	Sotub09g019380
ERF104	Sotub01g029570
ERF104	Sotub11g005390
ERF104	Sotub05g023100
ERF104	Sotub09g019370
ERF104	Sotub11g007500
ERF104	Sotub01g029460
ERF104	Sotub11g007510
ERF104	Sotub09g026030
ERF104	Sotub03g005740
ERF104	Sotub09g019360
ERF104	Sotub03g005730
ERF104	PGSC0003DMC400046392
ERF105	Sotub05g024660
ERF105	Sotub08g023780
ERF105	PGSC0003DMC400019030
ERF105	Sotub04g011610
ERF105	Sotub05g024670
ERF105	Sotub05g023530
ERF105	Sotub02g020190
ERF105	PGSC0003DMC400019035
ERF105	Sotub09g026020
ERF105	Sotub12g018750
ERF105	Sotub12g018760
ERF105	Sotub02g020180
ERF105	Sotub08g023750
ERF105	Sotub08g023760
ERF105	Sotub11g007490
ERF105	Sotub01g029560
ERF105	Sotub01g029520
ERF105	Sotub03g005750
ERF105	Sotub03g030820
ERF105	Sotub01g029490
ERF105	Sotub05g023520
ERF105	Sotub01g029470
ERF105	Sotub05g024650
ERF105	PGSC0003DMC400030113
ERF105	Sotub01g029440
ERF105	PGSC0003DMC400063967
ERF105	Sotub08g005000
ERF105	Sotub09g019380
ERF105	Sotub11g016330
ERF105	Sotub01g029570
ERF105	Sotub11g005390
ERF105	Sotub05g023100
ERF105	Sotub09g019370
ERF105	Sotub11g007500
ERF105	Sotub01g029460
ERF105	Sotub11g007510
ERF105	Sotub09g026030
ERF105	Sotub03g005740
ERF105	Sotub09g019360
ERF105	Sotub03g005730
ERF105	PGSC0003DMC400046392
ERF13	Sotub05g024660
ERF13	Sotub08g023780
ERF13	PGSC0003DMC400019030
ERF13	Sotub04g011610
ERF13	Sotub05g024670
ERF13	Sotub05g023530
ERF13	Sotub02g020190
ERF13	PGSC0003DMC400019035
ERF13	Sotub09g026020
ERF13	Sotub02g020180
ERF13	Sotub08g023750
ERF13	Sotub08g023760
ERF13	Sotub11g007490
ERF13	Sotub01g029560
ERF13	Sotub01g029520
ERF13	Sotub03g030820
ERF13	Sotub03g005750
ERF13	Sotub01g029490
ERF13	Sotub05g023520
ERF13	Sotub01g029470
ERF13	Sotub05g024650
ERF13	PGSC0003DMC400030113
ERF13	Sotub01g029440
ERF13	PGSC0003DMC400063967
ERF13	Sotub08g005000
ERF13	Sotub11g016330
ERF13	Sotub09g019380
ERF13	Sotub01g029570
ERF13	Sotub11g005390
ERF13	Sotub05g023100
ERF13	Sotub09g019370
ERF13	Sotub11g007500
ERF13	Sotub01g029460
ERF13	Sotub11g007510
ERF13	Sotub09g026030
ERF13	Sotub03g005740
ERF13	Sotub09g019360
ERF13	Sotub03g005730
ERF13	PGSC0003DMC400046392
ERF14,95,96	Sotub05g024660
ERF14,95,96	Sotub08g023780
ERF14,95,96	PGSC0003DMC400019030
ERF14,95,96	Sotub04g011610
ERF14,95,96	Sotub05g024670
ERF14,95,96	Sotub05g023530
ERF14,95,96	Sotub02g020190
ERF14,95,96	PGSC0003DMC400019035
ERF14,95,96	Sotub09g026020
ERF14,95,96	Sotub02g020180
ERF14,95,96	Sotub08g023750
ERF14,95,96	Sotub08g023760
ERF14,95,96	Sotub11g007490
ERF14,95,96	Sotub01g029560
ERF14,95,96	Sotub01g029520
ERF14,95,96	Sotub03g005750
ERF14,95,96	Sotub03g030820
ERF14,95,96	Sotub01g029490
ERF14,95,96	Sotub05g023520
ERF14,95,96	Sotub01g029470
ERF14,95,96	Sotub05g024650
ERF14,95,96	PGSC0003DMC400030113
ERF14,95,96	Sotub01g029440
ERF14,95,96	PGSC0003DMC400063967
ERF14,95,96	Sotub08g005000
ERF14,95,96	Sotub09g019380
ERF14,95,96	Sotub11g016330
ERF14,95,96	Sotub01g029570
ERF14,95,96	Sotub11g005390
ERF14,95,96	Sotub05g023100
ERF14,95,96	Sotub09g019370
ERF14,95,96	Sotub11g007500
ERF14,95,96	Sotub01g029460
ERF14,95,96	Sotub11g007510
ERF14,95,96	Sotub09g026030
ERF14,95,96	Sotub03g005740
ERF14,95,96	Sotub09g019360
ERF14,95,96	Sotub03g005730
ERF14,95,96	PGSC0003DMC400046392
ERF5,6	Sotub05g024660
ERF5,6	Sotub08g023780
ERF5,6	PGSC0003DMC400019030
ERF5,6	Sotub04g011610
ERF5,6	Sotub05g024670
ERF5,6	Sotub05g023530
ERF5,6	Sotub02g020190
ERF5,6	PGSC0003DMC400019035
ERF5,6	Sotub09g026020
ERF5,6	Sotub02g020180
ERF5,6	Sotub08g023750
ERF5,6	Sotub08g023760
ERF5,6	Sotub11g007490
ERF5,6	Sotub01g029560
ERF5,6	Sotub01g029520
ERF5,6	Sotub03g030820
ERF5,6	Sotub03g005750
ERF5,6	Sotub01g029490
ERF5,6	Sotub05g023520
ERF5,6	Sotub01g029470
ERF5,6	Sotub05g024650
ERF5,6	PGSC0003DMC400030113
ERF5,6	Sotub01g029440
ERF5,6	PGSC0003DMC400063967
ERF5,6	Sotub08g005000
ERF5,6	Sotub09g019380
ERF5,6	Sotub11g016330
ERF5,6	Sotub01g029570
ERF5,6	Sotub11g005390
ERF5,6	Sotub05g023100
ERF5,6	Sotub09g019370
ERF5,6	Sotub11g007500
ERF5,6	Sotub01g029460
ERF5,6	Sotub11g007510
ERF5,6	Sotub09g026030
ERF5,6	Sotub03g005740
ERF5,6	Sotub09g019360
ERF5,6	Sotub03g005730
ERF5,6	PGSC0003DMC400046392
ETR	Sotub11g005240
ETR	Sotub05g028140
ETR	Sotub06g017120
ETR	Sotub12g006350
ETR	Sotub09g026410
ETR	Sotub07g025670
ETR	Sotub09g022980
FLS2	Sotub04g012170
FLS2	Sotub04g012190
FLS2	Sotub04g012070
FLS2	Sotub04g011130
FLS2	PGSC0003DMC400033119
FLS2	Sotub04g012180
FLS2	PGSC0003DMC400040765
FLS2	Sotub07g007970
FLS2	Sotub02g015010
FLS2	PGSC0003DMC400038069
FLS2	PGSC0003DMC400036233
FLS2	PGSC0003DMC400047977
FLS2	PGSC0003DMC400049476
FLS2	Sotub04g011210
FLS2	Sotub03g024640
FLS2	Sotub04g011680
FLS2	PGSC0003DMC400068434
FLS2	Sotub06g032670
FLS2	PGSC0003DMC400018027
FLS2	PGSC0003DMC400061652
FLS2	PGSC0003DMC400034724
FLS2	PGSC0003DMC400040291
FLS2	PGSC0003DMC400052731
FLS2	PGSC0003DMC400024593
FLS2	Sotub06g005350
FLS2	Sotub04g011730
FLS2	Sotub04g008760
FLS2	PGSC0003DMC400023237
FLS2	PGSC0003DMC400009669
FLS2	Sotub06g005360
FLS2	PGSC0003DMC400034396
FLS2	Sotub11g015540
FLS2	Sotub02g006130
FLS2	Sotub11g005100
FLS2	PGSC0003DMC400040766
FLS2	Sotub10g010300
FLS2	Sotub10g012480
FLS2	PGSC0003DMC400038067
FLS2	PGSC0003DMC400065902
FLS2	PGSC0003DMC400068815
FLS2	Sotub07g011210
FLS2	PGSC0003DMC400013466
FLS2	Sotub04g012200
FLS2	PGSC0003DMC400049469
FLS2	Sotub02g019090
FLS2	Sotub02g019080
FLS2	Sotub04g013410
FLS2	PGSC0003DMC400023871
FLS2	PGSC0003DMC400013468
FLS2	PGSC0003DMC400060295
FLS2	PGSC0003DMC400040815
FLS2	PGSC0003DMC400031430
FLS2	PGSC0003DMC400027986
FLS2	Sotub03g005060
FLS2	PGSC0003DMC400026494
FLS2	PGSC0003DMC400026483
FLS2	Sotub04g012220
FLS2	Sotub06g032680
FLS2	PGSC0003DMC400034405
FLS2	Sotub04g012030
FLS2	PGSC0003DMC400026544
FLS2	PGSC0003DMC400046471
FLS2	PGSC0003DMC400009672
FLS2	Sotub03g006370
FLS2	Sotub06g005460
FLS2	Sotub06g005370
FLS2	Sotub06g005440
FLS2	Sotub03g005070
FLS2	Sotub03g016300
FLS2	PGSC0003DMC400024591
FLS2	PGSC0003DMC400042151
FLS2	PGSC0003DMC400021386
FLS2	PGSC0003DMC400024590
FLS2	PGSC0003DMC400033107
FLS2	Sotub07g006040
FLS2	Sotub04g012020
FLS2	PGSC0003DMC400019323
FLS2	PGSC0003DMC400064231
FLS2	Sotub02g019100
FLS2	Sotub02g018140
FLS2	PGSC0003DMC400019348
FLS2	PGSC0003DMC400018385
FLS2	Sotub04g011690
FLS2	Sotub02g018130
FLS2	PGSC0003DMC400044425
FLS2	PGSC0003DMC400018322
FLS2	Sotub02g014960
FLS2	Sotub02g014990
FLS2	Sotub02g014980
FLS2	PGSC0003DMC400034397
FLS2	Sotub04g011050
FLS2	PGSC0003DMC400038070
FLS2	PGSC0003DMC400019345
FLS2	PGSC0003DMC400018025
FLS2	PGSC0003DMC400048397
FLS2	PGSC0003DMC400027987
FLS2	Sotub03g005050
FLS2	PGSC0003DMC400019347
FLS2	PGSC0003DMC400031433
FLS2	PGSC0003DMC400001924
FLS2	Sotub04g012140
FLS2	PGSC0003DMC400040767
FLS2	PGSC0003DMC400035977
FLS2	PGSC0003DMC400022139
FLS2	Sotub02g017300
FLS2	Sotub07g011200
FLS2	Sotub02g019000
FLS2	PGSC0003DMC400049564
FLS2	PGSC0003DMC400049477
FLS2	PGSC0003DMC400000599
FLS2	Sotub04g009590
FLS2	Sotub11g012790
FLS2	PGSC0003DMC400033117
FLS2	Sotub04g011200
FLS2	PGSC0003DMC400040901
FLS2	Sotub04g011090
FLS2	Sotub07g011160
FLS2	Sotub04g011140
FLS2	Sotub04g018040
FLS2	PGSC0003DMC400064379
FLS2	PGSC0003DMC400024592
FLS2	Sotub04g012150
FLS2	Sotub04g011710
FLS2	Sotub06g005980
FLS2	PGSC0003DMC400013465
GRAS2	Sotub06g005010
GRAS2	Sotub06g005020
GRAS2	Sotub09g009080
GRAS2	Sotub10g028220
GRAS2	Sotub06g032090
GRAS2	Sotub05g025760
GRAS2	Sotub04g010480
GRAS2	Sotub04g010470
GRAS2	Sotub06g033330
GRAS2	Sotub01g038000
GRX480	Sotub10g009510
GRX480	Sotub07g021700
GRX480	Sotub10g008640
GSNO	Sotub12g027760
GSNO	Sotub03g010300
GSNO	Sotub04g028330
GSNO	Sotub09g015620
GSNO	Sotub08g027030
GSNO	Sotub06g018560
GSNO	Sotub04g024490
GSNO	Sotub04g035590
GSNO	Sotub03g010290
GSNO	Sotub03g010250
GSNO	Sotub03g010270
GSNO	Sotub11g027520
GST	Sotub12g006360
GST	Sotub07g025750
GST	Sotub01g050000
GST	Sotub02g024450
GST	Sotub10g007520
GST	Sotub07g018520
GST	Sotub01g050040
GST	Sotub07g023720
GST	Sotub12g027670
GST	Sotub02g024360
GST	PGSC0003DMC400013826
GST	Sotub01g050020
GST	Sotub01g050010
GST	Sotub07g023710
GST	Sotub07g023690
GST	Sotub07g025740
GST	Sotub10g007540
GST	Sotub12g006370
GST	Sotub06g007440
GST	Sotub09g022260
GST	PGSC0003DMC400054155
GST	Sotub01g050030
HMA	Sotub02g014610
HMA	PGSC0003DMC400021858
HMA	Sotub01g042220
HMA	Sotub11g016240
HMA	Sotub08g014180
HMA	Sotub08g029580
IAA29	Sotub12g009310
IAA29	Sotub09g015480
IAA29	Sotub04g028750
IAA29	Sotub03g036530
IAA29	Sotub09g026860
IAA29	Sotub09g025170
IAA29	Sotub06g016970
IAA29	Sotub01g034780
IAA29	Sotub06g016980
IAA29	Sotub06g008420
IAA29	PGSC0003DMC400035574
IAA29	Sotub12g029500
IAA29	Sotub08g011350
IAA29	Sotub03g036660
IAA29	Sotub06g008430
IAA29	Sotub03g035900
IAA29	Sotub06g034510
IAA29	Sotub07g008460
IAA29	Sotub03g036670
IAA29	PGSC0003DMC400023793
IAA29	Sotub09g025160
IAA29	Sotub09g020670
IAA29	Sotub06g023310
ICS	Sotub06g027020
JAL	PGSC0003DMC400063840
JAL	PGSC0003DMC400058934
JAL	PGSC0003DMC400065300
JAL	Sotub12g032980
JAL	Sotub01g006640
JAL	Sotub09g024900
JAL	Sotub09g024930
JAL	Sotub09g024920
JAM1,2	Sotub06g034420
JAM1,2	Sotub01g033490
JAM1,2	Sotub05g022770
JAM3	Sotub06g034420
JAM3	Sotub01g033490
JAM3	Sotub05g022770
JAR	Sotub10g008920
JAR	PGSC0003DMC400032009
JAR	PGSC0003DMC400032010
JAR	Sotub05g022550
JAR	Sotub05g022560
JAR	Sotub01g033030
JAR	PGSC0003DMC400034515
JAZ1,2,5,6	Sotub03g034750
JAZ1,2,5,6	Sotub12g008780
JAZ1,2,5,6	PGSC0003DMC400050904
JAZ1,2,5,6	Sotub12g022980
JAZ1,2,5,6	PGSC0003DMC400043215
JAZ10	Sotub05g019410
JAZ3,4	Sotub03g031970
JAZ3,4	Sotub01g005610
JAZ3,4	Sotub06g026000
JAZ7,8	PGSC0003DMC400015429
JAZ7,8	PGSC0003DMC400002154
JAZ7,8	PGSC0003DMC400046574
JAZ7,8	PGSC0003DMC400015428
JAZ7,8	PGSC0003DMC400002158
JAZ9,11,12	Sotub03g031970
JAZ9,11,12	Sotub03g034750
JAZ9,11,12	Sotub01g005610
JAZ9,11,12	Sotub06g026000
JAZ9,11,12	Sotub12g008780
JAZ9,11,12	PGSC0003DMC400050904
JAZ9,11,12	Sotub12g022980
JAZ9,11,12	PGSC0003DMC400043215
JMT	Sotub04g034060
JMT	Sotub02g028080
JMT	Sotub01g028150
JMT	Sotub01g028190
JMT	Sotub01g028160
JMT	Sotub09g027890
JMT	Sotub05g026320
JMT	Sotub09g027900
JMT	PGSC0003DMC400003219
JMT	PGSC0003DMC400024467
KAT	Sotub09g027790
KAT	Sotub09g018750
LOX	Sotub05g015810
LOX	Sotub11g007820
LOX	Sotub03g034620
LOX	Sotub01g007030
LOX	Sotub08g010690
LOX	Sotub08g008740
LOX	Sotub08g010730
LOX	Sotub08g010720
LOX	Sotub12g006600
LOX	Sotub09g023410
LOX	PGSC0003DMC400042728
LOX	Sotub01g037000
LOX	PGSC0003DMC400042723
LOX	Sotub08g011220
LOX	PGSC0003DMC400042724
LOX	Sotub01g036960
LOX	Sotub01g036990
LOX	Sotub01g037010
LOX	PGSC0003DMC400042721
LOX	PGSC0003DMC400042722
LOX	Sotub04g025410
LOX	PGSC0003DMC400050332
MES	Sotub01g046050
MES	PGSC0003DMC400044949
MES	Sotub01g045940
MES	Sotub11g019980
MES	Sotub01g046140
MES	Sotub01g046160
MES	Sotub01g046060
MES	Sotub09g012700
MES	PGSC0003DMC400044972
MES	Sotub09g016640
MES	Sotub06g025780
MES	Sotub01g046040
MES	Sotub01g046030
MES	Sotub01g045970
MES	Sotub01g045980
MES	Sotub01g046070
MES	Sotub02g012040
MES	Sotub03g019220
MES	PGSC0003DMC400009620
MES	Sotub11g019970
MES	PGSC0003DMC400009614
MES	Sotub01g046010
MES	Sotub02g012030
MES	PGSC0003DMC400013538
MES	PGSC0003DMC400039755
MES	Sotub01g046000
MES	Sotub07g019040
MES	Sotub02g012050
MES	PGSC0003DMC400044544
MES	Sotub01g046090
MES	Sotub01g046170
MES	Sotub01g046110
MES	Sotub01g046190
MES	PGSC0003DMC400066212
MES	PGSC0003DMC400044967
MFP	Sotub05g015130
MFP	Sotub02g036840
MFP	Sotub07g024210
MFP	Sotub05g015140
MFP	Sotub08g019780
MFP	PGSC0003DMC400031274
MFP	Sotub12g009260
MFP	Sotub12g031400
MFP	Sotub01g020690
MFP	PGSC0003DMC400006958
MIND1	Sotub03g015790
MKS1	PGSC0003DMC400050123
MKS1	PGSC0003DMC400001483
MKS1	Sotub11g005740
MKS1	PGSC0003DMC400030680
MKS1	PGSC0003DMC400009924
